user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-0.9705212,1.661878,-3.876983,2.05678,0,0,0,0,
-0.9705212,1.661878,-3.876983,2.05678,0,0,0,0,
-0.9706321,1.66185,-2.300915,0.8393871,-0.7461936,0.4546683,-2.272546,0.9360503,
-0.6682721,1.712515,-2.300874,0.8395519,-0.7461846,0.4549572,-2.279325,0.9405148,
-0.6570237,1.71332,-2.300758,0.8395668,-0.7463237,0.455106,-2.279704,0.938023,
-0.6567827,1.713805,-2.300842,0.8395942,-0.7463238,0.4551828,-2.280236,0.9372838,
-0.6566796,1.714148,-2.30083,0.8396075,-0.7463253,0.4552155,-2.280223,0.9366444,
-0.6566793,1.714672,-2.300958,0.8392791,-0.7460745,0.455755,-2.277222,0.9335865,
-0.6612123,1.706431,-2.300878,0.8392258,-0.7460823,0.4555838,-2.276728,0.9322931,
-0.6619505,1.705633,-2.30086,0.8391939,-0.7460738,0.4556015,-2.276328,0.931658,
-0.6624974,1.705381,-2.30091,0.8391544,-0.746047,0.4554358,-2.275486,0.9311932,
-0.6642089,1.704951,-2.300896,0.8394121,-0.7460153,0.4556739,-2.274786,0.9300436,
-0.6659085,1.705781,-2.300972,0.8394411,-0.7460361,0.4555042,-2.273787,0.9281392,
-0.6661685,1.706399,-2.300982,0.8393909,-0.7460238,0.455524,-2.273028,0.9276007,
-0.667331,1.707324,-2.30096,0.8393949,-0.746053,0.4553537,-2.272564,0.9271163,
-0.6686267,1.708302,-2.300925,0.8393844,-0.7460454,0.4553988,-2.268497,0.9314566,
-0.6698385,1.709256,-2.300905,0.8393754,-0.7460505,0.4553506,-2.268062,0.9311579,
-0.6713043,1.710342,-2.300915,0.839326,-0.7461082,0.455076,-2.268586,0.9293246,
-0.6728266,1.71155,-2.300906,0.8392541,-0.7461011,0.4551136,-2.266792,0.9296744,
-0.6742842,1.712606,-2.300848,0.8393604,-0.7460656,0.4553831,-2.266102,0.9289,
-0.6758716,1.713715,-2.300928,0.8393521,-0.7461292,0.4552476,-2.265139,0.9283195,
-0.6775386,1.71486,-2.300973,0.8393902,-0.7461362,0.455286,-2.263063,0.9289684,
-0.6791427,1.716001,-2.30099,0.8393663,-0.7461456,0.4553249,-2.262022,0.9286593,
-0.6809287,1.717212,-2.30098,0.8393242,-0.7461724,0.4551549,-2.261347,0.9281052,
-0.6827372,1.718623,-2.301035,0.8393031,-0.7461867,0.4551733,-2.259658,0.92826,
-0.6845739,1.720109,-2.301043,0.8392599,-0.7461919,0.4551611,-2.260816,0.9253521,
-0.6865928,1.721865,-2.301035,0.8392721,-0.7461752,0.4549205,-2.259969,0.9248539,
-0.6886939,1.723619,-2.300786,0.8392953,-0.7461944,0.4548433,-2.258414,0.9255418,
-0.6909276,1.725439,-2.300781,0.8391787,-0.7462013,0.4548965,-2.25769,0.9252234,
-0.6930782,1.727259,-2.300921,0.8391573,-0.7462457,0.4545667,-2.256393,0.9246273,
-0.6953226,1.72907,-2.300839,0.8392165,-0.7462266,0.4547892,-2.254344,0.9248167,
-0.6976473,1.730729,-2.300862,0.8392761,-0.746235,0.4547961,-2.253232,0.9238533,
