pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.600649,3.610598,1.600649,0,4.507173,0,
1.600649,3.610598,1.600649,0,4.507173,0,
1.599677,2.060665,1.599677,0,2.383828,0,
1.807051,2.350409,1.807051,0,2.383924,0,
1.813006,2.378113,1.813006,0,2.383829,0,
1.813476,2.381023,1.813476,0,2.383775,0,
1.814045,2.38417,1.814045,0,2.383742,0,
1.814445,2.387168,1.814445,0,2.383731,0,
1.814866,2.389662,1.814866,0,2.383639,0,
1.81535,2.392628,1.81535,0,2.383761,0,
1.815738,2.395539,2.87529,0,2.383902,3.211954,
1.816179,2.398035,2.877945,0,2.383822,3.213657,
1.81671,2.400413,2.905089,0,2.383817,3.229832,
1.813996,2.429702,2.909913,0,2.383864,3.230754,
1.812552,2.430151,2.910795,0,2.38392,3.230861,
1.810962,2.430272,2.912246,0,2.383889,3.230999,
1.809492,2.430581,2.914282,0,2.383857,3.231215,
1.807741,2.430709,2.914832,0,2.38385,3.231063,
1.805933,2.430652,2.91622,0,2.383803,3.231032,
1.804273,2.430854,2.918008,0,2.383832,3.231057,
1.802378,2.430776,2.918131,0,2.383768,3.230492,
1.800535,2.430737,2.919319,0,2.383755,3.23019,
1.798832,2.43069,2.92046,0,2.383766,3.2299,
1.797199,2.430845,2.919911,0,2.383823,3.229237,
1.795715,2.430834,2.920777,0,2.383808,3.228628,
1.794456,2.430812,2.921962,0,2.38376,3.22812,
1.793332,2.43053,2.920915,0,2.383727,3.227133,
1.792338,2.430093,2.921364,0,2.3838,3.226534,
1.791687,2.429945,2.921457,0,2.383835,3.225743,
1.790882,2.429739,2.920069,0,2.383871,3.224739,
1.79027,2.429496,2.920373,0,2.383887,3.224018,
1.789884,2.429264,2.918597,0,2.383866,3.22302,
1.789526,2.429057,2.916907,0,2.38381,3.221929,
1.789255,2.42874,2.916708,0,2.383778,3.221137,
1.789201,2.428773,2.914365,0,2.383849,3.220153,
1.789116,2.428486,2.914226,0,2.38378,3.21928,
1.789174,2.428033,2.913647,0,2.383828,3.218509,
1.789289,2.427917,2.91157,0,2.383912,3.217434,
1.789376,2.427548,2.902081,0,2.383892,3.215837,
1.789525,2.427207,2.901375,0,2.383825,3.215127,
1.789622,2.42683,2.8995,0,2.38385,3.214318,
1.789716,2.42656,2.891232,0,2.383839,3.212883,
1.789904,2.425999,2.89018,0,2.383778,3.212262,
1.78996,2.425557,2.886614,0,2.383864,3.211465,
1.790128,2.42517,2.88846,0,2.383952,3.210976,
1.790382,2.424784,2.887409,0,2.383963,3.210488,
1.790593,2.424415,2.880857,0,2.383978,3.209297,
1.7909,2.423862,2.87825,0,2.383875,3.208639,
1.791231,2.42332,2.876853,0,2.384025,3.208351,
1.791541,2.422889,2.87204,0,2.384026,3.207651,
1.791909,2.422627,2.869653,0,2.384103,3.207618,
1.792298,2.42243,2.868345,0,2.384003,3.207682,
1.792786,2.422194,2.86591,0,2.38395,3.207823,
1.793237,2.42208,2.863942,0,2.383997,3.207904,
1.793707,2.421864,2.861765,0,2.383978,3.207981,
1.793903,2.42145,2.857097,0,2.383939,3.207869,
