pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


2.419035,2.473858,2.419035,0,4.507173,0,
2.419035,2.473858,2.419035,0,4.507173,0,
2.214785,2.258365,1.690769,1.179743,2.633303,3.236108,
2.221313,2.257167,1.699932,1.930284,1.852883,1.563574,
2.232388,2.274215,1.69367,1.922924,1.854067,1.569969,
2.233405,2.276043,1.696708,1.915902,1.855029,1.576045,
2.234019,2.277921,1.699324,1.908192,1.855271,1.582947,
2.236576,2.28347,1.70585,1.886312,1.859155,1.602643,
2.237757,2.286577,1.710228,1.873338,1.862165,1.614565,
2.237525,2.286527,1.710412,1.873932,1.862812,1.613806,
2.238055,2.288043,1.766863,1.784751,1.92329,1.702488,
2.251133,2.320628,1.756892,1.778449,1.930297,1.710589,
2.250995,2.321669,1.758516,1.774711,1.933382,1.715247,
2.250596,2.322449,1.760142,1.771341,1.935856,1.719411,
2.250139,2.32321,1.761838,1.767136,1.938504,1.724387,
2.249564,2.323869,1.763248,1.7622,1.940616,1.729025,
2.248985,2.324539,1.764753,1.758172,1.942362,1.733238,
2.248194,2.325013,1.76637,1.75317,1.944524,1.738468,
2.247267,2.325367,1.768117,1.747831,1.946542,1.743997,
2.246215,2.325744,1.769952,1.743238,1.948164,1.748633,
2.245142,2.32602,1.771852,1.73772,1.950422,1.754222,
2.243894,2.32623,1.774027,1.731669,1.952421,1.760285,
2.242608,2.326393,1.776232,1.726221,1.954431,1.765707,
2.241153,2.326358,1.778686,1.720295,1.957057,1.771777,
2.239692,2.326368,1.781097,1.714287,1.960017,1.777912,
2.238543,2.32671,1.783321,1.708498,1.962665,1.783624,
2.236758,2.326389,1.786089,1.702531,1.96594,1.78957,
2.235338,2.326342,1.788809,1.69614,1.969461,1.796218,
2.234102,2.326122,1.791555,1.690219,1.972949,1.802825,
2.232534,2.326075,1.794691,1.683733,1.977062,1.80998,
2.231251,2.32615,1.79747,1.676897,1.980879,1.817812,
2.229858,2.325814,1.800391,1.671058,1.984804,1.824758,
2.228124,2.325371,1.804076,1.664919,1.98941,1.832497,
2.226534,2.324849,1.807158,1.658551,1.993826,1.84058,
2.225132,2.324612,1.810072,1.652956,1.99812,1.847586,
2.223114,2.323935,1.813123,1.646325,2.001558,1.855927,
2.221184,2.323169,1.815885,1.63835,2.003383,1.865527,
2.219138,2.322248,1.818774,1.630675,2.006097,1.875187,
2.21681,2.321182,1.821774,1.623702,2.010016,1.883982,
2.214537,2.320191,1.824778,1.617596,2.014791,1.89214,
2.212196,2.318874,1.82764,1.611139,2.018969,1.90067,
2.209665,2.317622,1.83044,1.604568,2.023685,1.909355,
2.20703,2.316142,1.833334,1.598282,2.028613,1.917817,
2.204497,2.314789,1.836248,1.592742,2.033537,1.92557,
2.201948,2.313448,1.839,1.586768,2.038465,1.934119,
2.199215,2.311744,1.842224,1.58134,2.043496,1.94237,
2.196495,2.310349,1.845372,1.57684,2.048445,1.949335,
2.193882,2.308666,1.848254,1.572157,2.053122,1.95691,
2.191197,2.306937,1.851297,1.567829,2.057362,1.963841,
2.1888,2.305084,1.854335,1.563836,2.06087,1.970292,
