chair to collider angle,table to collider angle,audience to collider angle,


120.9505,17.72453,120.9505,
120.9505,17.72453,120.9505,
108.6033,71.55923,48.15829,
72.45662,30.61682,88.0574,
70.46971,28.84523,89.29137,
70.0378,28.42984,89.6441,
69.51454,27.92033,90.09354,
67.88631,26.34217,91.45401,
66.46414,24.95053,92.53291,
66.31218,24.79391,92.62556,
65.66003,24.14827,93.84133,
58.72063,17.8265,98.85096,
58.24929,17.37407,99.07845,
57.72743,16.86574,99.31927,
57.15742,16.30854,99.57952,
56.53917,15.70356,99.8045,
55.8541,15.04085,100.1499,
55.11308,14.31961,100.5144,
54.29856,13.53082,100.9305,
53.41829,12.67224,101.3339,
52.43084,11.70824,101.7667,
51.43988,10.75515,102.2192,
50.45206,9.822749,102.6954,
49.50996,8.957124,103.1847,
48.65361,8.203414,103.662,
47.86808,7.560966,104.129,
47.24029,7.125079,104.6124,
46.76621,6.893014,105.0753,
46.36676,6.765092,105.5243,
46.14214,6.827714,105.9281,
45.97482,6.90271,106.2383,
45.86129,7.019454,106.518,
45.78872,7.129923,106.7298,
45.76329,7.217544,106.8623,
45.7367,7.27373,106.932,
45.73009,7.274917,106.9304,
45.75086,7.251497,106.8646,
45.79112,7.223711,106.7755,
45.84521,7.157796,106.6263,
45.9397,7.103433,106.444,
46.02735,7.024678,106.2417,
46.17126,6.932822,105.9509,
46.34299,6.823461,105.5914,
46.50698,6.707154,105.2094,
46.71642,6.580493,104.7238,
46.98255,6.509003,104.1967,
47.29243,6.492291,103.601,
47.68567,6.590023,102.9731,
48.16793,6.824553,102.3073,
48.69346,7.165329,101.6684,
49.29876,7.626325,100.9694,
49.92298,8.144615,100.319,
50.56644,8.706149,99.70509,
51.16545,9.24669,99.0787,
51.79094,9.823531,98.4654,
52.34765,10.33716,97.96826,
52.83177,10.77596,97.58248,
53.23706,11.12698,97.29727,
53.58571,11.42398,97.04482,
53.76227,11.54031,96.97855,
53.85219,11.56291,96.96851,
53.86565,11.50485,97.02229,
53.71637,11.28051,97.17995,
53.38408,10.87098,97.43645,
52.93014,10.33693,97.74644,
52.36954,9.694039,98.13611,
51.73837,8.991102,98.5791,
50.92775,8.114161,99.12477,
50.10301,7.239041,99.69337,
49.26416,6.373014,100.2552,
48.41689,5.532543,100.8604,
47.61571,4.789252,101.4303,
46.8432,4.16772,101.9976,
46.10438,3.640778,102.5029,
45.4215,3.271537,102.937,
44.8759,3.041373,103.2196,
44.44002,2.934983,103.4487,
44.14088,2.905758,103.5855,
44.03534,2.813343,103.5398,
44.00714,2.671664,103.4128,
44.0617,2.46601,103.1814,
44.22562,2.156312,102.8299,
44.41922,1.889377,102.4779,
44.69735,1.619187,102.0545,
45.05099,1.359411,101.5263,
45.45306,1.28816,100.972,
45.9166,1.468204,100.3665,
46.52667,1.974966,99.68082,
47.27513,2.724408,98.9066,
48.03832,3.512459,98.14902,
48.95267,4.464273,97.32577,
49.96373,5.540225,96.39658,
51.09947,6.765237,95.34363,
52.38739,8.158223,94.16181,
53.93252,9.834414,92.77122,
55.48653,11.51429,91.37234,
57.30192,13.48302,89.76072,
59.30378,15.68945,87.92353,
61.35154,17.95863,86.01086,
