user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-1.427596,1.734598,-3.876983,2.05678,0,0,0,0,
-1.427596,1.734598,-3.876983,2.05678,0,0,0,0,
-1.427938,1.734532,-2.293919,0.837123,-0.7451504,0.4674599,-2.262879,0.9213001,
-1.442025,1.726657,-2.293889,0.8368239,-0.7450485,0.4673519,-2.252886,0.9079069,
-1.435274,1.726437,-2.293858,0.8368829,-0.7450374,0.4673555,-2.252501,0.9068346,
-1.434256,1.726486,-2.293838,0.8370121,-0.74503,0.4674337,-2.25322,0.9052539,
-1.433135,1.726231,-2.294166,0.8371326,-0.74542,0.4674668,-2.253102,0.904404,
-1.429498,1.725796,-2.294234,0.8372042,-0.7454888,0.4675272,-2.252425,0.9031327,
-1.426784,1.725207,-2.293878,0.837283,-0.745265,0.4675779,-2.252218,0.902305,
-1.426514,1.724985,-2.293936,0.8370858,-0.7452688,0.4674776,-2.25259,0.9019749,
-1.425143,1.724648,-2.294008,0.8369079,-0.744972,0.4674869,-2.262787,0.8801552,
-1.40119,1.7178,-2.293972,0.8369029,-0.7450243,0.4674582,-2.263555,0.8791462,
-1.399781,1.716887,-2.293982,0.836872,-0.7450116,0.4674904,-2.263957,0.8785747,
-1.398385,1.715869,-2.293986,0.8368298,-0.7450498,0.4674671,-2.264237,0.8780466,
-1.396925,1.715026,-2.293942,0.8368654,-0.7450289,0.4675059,-2.264366,0.8775527,
-1.395375,1.714188,-2.293838,0.8371898,-0.7450118,0.4676707,-2.265573,0.8764468,
-1.393824,1.713434,-2.293853,0.8371924,-0.7450814,0.4676864,-2.265602,0.8761063,
-1.392165,1.712675,-2.293788,0.8372419,-0.7450666,0.4676955,-2.265621,0.8758024,
-1.390489,1.711885,-2.293852,0.8370054,-0.7450755,0.467607,-2.265681,0.8754252,
-1.3887,1.711104,-2.293945,0.8370154,-0.7451593,0.4676213,-2.265755,0.875039,
-1.386856,1.710441,-2.294103,0.8370194,-0.7451944,0.4676142,-2.265849,0.8745768,
-1.384833,1.70981,-2.294147,0.8368466,-0.7452084,0.4674747,-2.265977,0.8739319,
-1.382805,1.709196,-2.294159,0.8367798,-0.7452044,0.4674654,-2.26608,0.8731872,
-1.380652,1.708668,-2.294017,0.8368809,-0.7451607,0.4674783,-2.266068,0.8724095,
-1.37855,1.708236,-2.294005,0.8368561,-0.7451754,0.467443,-2.265996,0.8716751,
-1.376473,1.708021,-2.294088,0.8368384,-0.7452238,0.4674313,-2.265958,0.8710154,
-1.374238,1.708057,-2.294053,0.8370503,-0.7452197,0.4676001,-2.265879,0.8704606,
-1.372104,1.70821,-2.294075,0.8369795,-0.7452223,0.4675934,-2.265793,0.8700298,
-1.370041,1.708233,-2.294075,0.8369503,-0.7451313,0.4674432,-2.265717,0.8696237,
-1.367958,1.708666,-2.294236,0.8367637,-0.7451851,0.4674435,-2.265591,0.869364,
-1.36577,1.708925,-2.294129,0.8371835,-0.7451717,0.4677296,-2.265477,0.8692058,
-1.363791,1.70917,-2.294054,0.8371644,-0.7451278,0.4677064,-2.265422,0.868982,
-1.36169,1.709559,-2.293812,0.8371948,-0.7450517,0.4677339,-2.26545,0.8684652,
