pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.754184,3.569123,1.754184,0,4.507173,0,
1.754184,3.569123,1.754184,0,4.507173,0,
1.754121,3.569081,1.754121,0,4.507173,0,
1.773772,3.617117,1.773772,1.684286,3.526407,1.684286,
1.773724,3.616728,1.773724,1.68433,3.526267,1.68433,
1.77374,3.616538,1.77374,1.684617,3.526138,1.684617,
1.77372,3.616466,1.77372,1.684761,3.525795,1.684761,
1.773677,3.616399,1.773677,1.684941,3.525596,1.684941,
1.773725,3.616233,1.773725,1.684855,3.525408,1.684855,
1.773715,3.616104,1.773715,1.685134,3.525119,1.685134,
1.773719,3.616053,1.773719,1.683279,3.52044,1.683279,
1.774124,3.614991,1.774124,1.683162,3.520748,1.683162,
1.774081,3.614976,1.774081,1.68305,3.52133,1.68305,
1.774027,3.614947,1.774027,1.683123,3.52197,1.683123,
1.773978,3.614901,1.773978,1.683057,3.522658,1.683057,
1.773953,3.614773,1.773953,1.683277,3.524638,1.683277,
1.774134,3.614666,1.774134,1.683172,3.527022,1.683172,
1.774088,3.614898,1.774088,1.683523,3.527405,1.683523,
1.774106,3.614867,1.774106,1.68349,3.529445,1.68349,
1.774417,3.614757,1.774417,1.683514,3.531342,1.683514,
1.774487,3.614599,1.774487,1.684136,3.533105,1.684136,
1.774558,3.614576,1.774558,1.684431,3.535279,1.684431,
1.775004,3.614467,1.775004,1.684849,3.538473,1.684849,
1.7753,3.614345,1.7753,1.685699,3.541956,1.685699,
1.775709,3.614295,1.775709,1.686184,3.545783,1.686184,
1.776365,3.614146,1.776365,1.686654,3.549409,1.686654,
1.776822,3.614046,1.776822,1.687545,3.553206,1.687545,
1.777275,3.61401,1.777275,1.688005,3.557093,1.688005,
1.77789,3.613977,1.77789,1.688574,3.561212,1.688574,
1.778346,3.614059,1.778346,1.689114,3.565265,1.689114,
1.778835,3.614193,1.778835,1.689582,3.569157,1.689582,
1.77917,3.614416,1.77917,1.69012,3.573457,1.69012,
1.779629,3.614594,1.779629,1.689918,3.577683,1.689918,
1.780155,3.614762,1.780155,1.690588,3.581129,1.690588,
1.780849,3.61496,1.780849,1.691236,3.584983,1.691236,
1.781502,3.615285,1.781502,1.692167,3.588547,1.692167,
1.782271,3.615551,1.782271,1.692933,3.591711,1.692933,
1.78305,3.615894,1.78305,1.693904,3.594918,1.693904,
1.783825,3.616368,1.783825,1.694941,3.597973,1.694941,
1.784716,3.616782,1.784716,1.695979,3.600649,1.695979,
1.785684,3.617191,1.785684,1.697031,3.60375,1.697031,
1.786767,3.617831,1.786767,1.698406,3.60682,1.698406,
1.787895,3.618314,1.787895,1.699426,3.610012,1.699426,
1.789202,3.618909,1.789202,1.700533,3.613246,1.700533,
1.790414,3.61974,1.790414,1.701738,3.616382,1.701738,
1.791823,3.6205,1.791823,1.702807,3.619811,1.702807,
1.793027,3.62137,1.793027,1.703765,3.623008,1.703765,
1.794357,3.622463,1.794357,1.704867,3.626273,1.704867,
1.795502,3.623597,1.795502,1.705971,3.629254,1.705971,
1.796715,3.624731,1.796715,1.707209,3.632168,1.707209,
