chair to collider angle,table to collider angle,audience to collider angle,


86.67776,26.08104,86.67776,
86.67776,26.08104,86.67776,
86.71329,26.15617,86.71329,
99.97606,52.1543,99.97606,
99.7425,52.05052,99.7425,
99.7278,52.03157,99.7278,
99.71935,52.01815,99.71935,
99.61855,51.98551,99.61855,
99.57545,51.95913,99.57545,
99.56615,51.96486,99.56615,
99.55647,51.94192,99.55647,
99.4612,51.14219,99.4612,
99.44859,51.16276,99.44859,
99.41262,51.17696,99.41262,
99.39388,51.19886,99.39388,
99.36674,51.22242,99.36674,
99.39123,51.21922,99.39123,
99.42598,51.20129,99.42598,
99.46263,51.19974,99.46263,
99.49112,51.20586,99.49112,
99.53694,51.19108,99.53694,
99.59942,51.18301,99.59942,
99.69249,51.16481,99.69249,
99.84187,51.12679,99.84187,
100.0879,51.06272,100.0879,
100.3937,50.99684,100.3937,
100.7035,50.91786,100.7035,
101.0094,50.8542,101.0094,
101.3121,50.79086,101.3121,
101.6451,50.7186,101.6451,
102.0066,50.64782,102.0066,
102.3599,50.59989,102.3599,
102.7135,50.55861,102.7135,
103.0753,50.55001,103.0753,
103.4745,50.53804,103.4745,
103.9347,50.52733,103.9347,
104.4575,50.53342,104.4575,
105.0652,50.52086,105.0652,
105.6365,50.54561,105.6365,
106.2401,50.61503,106.2401,
106.8472,50.68837,106.8472,
107.5626,50.8085,107.5626,
108.326,50.96693,108.326,
109.329,51.19038,109.329,
110.3555,51.43151,110.3555,
111.4821,51.75217,111.4821,
112.6488,52.09357,112.6488,
113.8522,52.49144,113.8522,
115.103,52.98183,115.103,
116.2304,53.52087,116.2304,
117.3007,54.03807,117.3007,
118.3613,54.60965,118.3613,
119.4361,55.20951,119.4361,
120.5121,55.82111,120.5121,
121.5926,56.46509,121.5926,
122.7222,57.08715,122.7222,
123.8565,57.72923,123.8565,
125.0313,58.41166,125.0313,
126.1554,59.07377,126.1554,
127.236,59.77607,127.236,
128.2829,60.4804,128.2829,
129.2547,61.17102,129.2547,
130.1781,61.80761,130.1781,
131.0741,62.44946,131.0741,
131.8404,63.06913,131.8404,
132.5102,63.65599,132.5102,
132.96,64.1685,132.96,
133.3779,64.68497,133.3779,
133.7676,65.1497,133.7676,
134.0461,65.59131,134.0461,
134.3741,66.02451,134.3741,
134.6901,66.42072,134.6901,
134.9969,66.81426,134.9969,
135.2254,67.15212,135.2254,
135.4111,67.46772,135.4111,
135.571,67.74659,135.571,
135.7476,68.04663,135.7476,
135.8952,68.35511,135.8952,
136.0065,68.6573,136.0065,
136.1198,68.98764,136.1198,
136.2363,69.30453,136.2363,
136.3273,69.65044,136.3273,
136.4397,69.97699,136.4397,
136.5004,70.32053,136.5004,
136.555,70.64359,136.555,
136.5939,70.93552,136.5939,
136.6103,71.20181,136.6103,
136.633,71.43022,136.633,
136.6507,71.66035,136.6507,
136.6408,71.83372,136.6408,
136.6449,71.9984,136.6449,
136.6281,72.1238,136.6281,
136.6259,72.24044,136.6259,
136.6148,72.35874,136.6148,
136.6018,72.45775,136.6018,
136.578,72.56799,136.578,
136.5548,72.66291,136.5548,
136.5313,72.75661,136.5313,
136.5195,72.87167,136.5195,
136.533,72.9986,136.533,
