user x,user y,table x,table y,chair x,chair y,audience x,audience y,


0.4161535,1.62306,-3.876983,2.05678,0,0,0,0,
0.4161535,1.62306,-3.876983,2.05678,0,0,0,0,
0.4159639,1.623119,0.5527161,0.8811784,-1.419996,0.5128386,-1.873264,0.9956856,
0.4340698,1.62586,0.5526946,0.8810949,-1.419675,0.5129557,-1.885444,0.9782758,
0.4344615,1.625945,0.552482,0.8811125,-1.419784,0.5129151,-1.885924,0.9782428,
0.4344802,1.625982,0.5524726,0.8811126,-1.419767,0.5129335,-1.88603,0.9795635,
0.434532,1.625964,0.5524899,0.8811206,-1.419753,0.5129666,-1.886263,0.9806356,
0.4346987,1.625972,0.552458,0.8811036,-1.419739,0.5129714,-1.88651,0.9815595,
0.4347278,1.626012,0.5524462,0.8811069,-1.419786,0.5129194,-1.886653,0.9830256,
0.4347676,1.626056,0.5523937,0.8810687,-1.419819,0.5129125,-1.887045,0.9840342,
0.4349172,1.625972,0.5523793,0.8810505,-1.419813,0.5130172,-1.887646,0.9843193,
0.4349881,1.625961,0.5523708,0.881107,-1.41982,0.5129523,-1.887828,0.9859617,
0.4351134,1.625871,0.5527024,0.8812895,-1.419676,0.5129645,-1.892053,0.9963809,
0.436981,1.626222,0.5527238,0.8812116,-1.419757,0.5128589,-1.892236,0.9968331,
0.4371367,1.626217,0.5526994,0.8812065,-1.419752,0.5128536,-1.892488,0.9970024,
0.4372278,1.626296,0.5525994,0.881304,-1.419746,0.5128274,-1.892953,0.9973295,
0.4373415,1.626317,0.5526041,0.8813148,-1.419723,0.5128782,-1.893398,0.9976438,
0.4374271,1.626272,0.5523887,0.8813412,-1.419849,0.5128443,-1.893684,0.9979072,
0.4375438,1.62617,0.5524669,0.881074,-1.41985,0.5128028,-1.894083,0.9979165,
0.4375609,1.626169,0.5524615,0.8810786,-1.419845,0.5127716,-1.894308,0.9977822,
0.4375723,1.626162,0.5523086,0.8809931,-1.419965,0.5127277,-1.894431,0.9974927,
0.4376196,1.626261,0.5523448,0.880977,-1.419967,0.512702,-1.8941,0.9971142,
0.4377628,1.626383,0.5524138,0.8810115,-1.419973,0.5127146,-1.893887,0.9969704,
0.4378433,1.626489,0.5523611,0.8814642,-1.419863,0.5128245,-1.89343,0.9964241,
0.4379127,1.62645,0.5523536,0.8814892,-1.419842,0.5128298,-1.892914,0.9965498,
0.4378482,1.626517,0.5523803,0.8814452,-1.419859,0.5128725,-1.892453,0.9965336,
0.4379011,1.626674,0.5524191,0.8811321,-1.419889,0.5128152,-1.892192,0.9959944,
0.4379058,1.626825,0.5524257,0.8811219,-1.419858,0.5127952,-1.891365,0.9962294,
0.437916,1.626936,0.5524538,0.8811347,-1.419862,0.5129201,-1.890843,0.9959563,
0.4379096,1.626989,0.5523804,0.8809782,-1.419936,0.5128262,-1.89054,0.9951117,
0.4379352,1.627095,0.5523797,0.880926,-1.419953,0.5128136,-1.88957,0.9946073,
0.4378906,1.627211,0.5523249,0.8809091,-1.419958,0.5127931,-1.888895,0.9940132,
0.4378626,1.627273,0.5523088,0.8809968,-1.419962,0.5128002,-1.888186,0.9930952,
