user x,user y,table x,table y,chair x,chair y,audience x,audience y,


0.2588089,1.632076,-3.876983,2.05678,0,0,0,0,
0.2588089,1.632076,-3.876983,2.05678,0,0,0,0,
0.2588018,1.631917,0.3052416,0.8538195,0.2515207,0.5778747,-2.846722,1.06737,
0.2630338,1.617993,0.3053584,0.8540399,0.2514775,0.5778985,-2.907309,1.037109,
0.2637077,1.614764,0.3053564,0.8540329,0.25154,0.5779161,-2.912864,1.034189,
0.2639368,1.614764,0.3053334,0.8539513,0.2515472,0.5778911,-2.918771,1.031396,
0.2641808,1.61465,0.3053359,0.8539495,0.251592,0.5778859,-2.924434,1.02857,
0.26435,1.614627,0.3052765,0.8540723,0.251567,0.577924,-2.930459,1.0263,
0.2650364,1.614668,0.305398,0.8539573,0.2515609,0.5778615,-2.948487,1.019416,
0.2650812,1.614799,0.3054031,0.8539656,0.2515608,0.5778916,-2.948892,1.020016,
0.2653562,1.614867,0.3054152,0.8538682,0.2516581,0.5778058,-2.955387,1.018268,
0.2656539,1.614786,0.3054276,0.8540463,0.251562,0.5778766,-3.081156,1.055069,
0.2707669,1.614681,0.3055501,0.8539433,0.2513319,0.5778103,-3.089731,1.057236,
0.2707939,1.614696,0.3055285,0.8540272,0.2514487,0.5778313,-3.093474,1.058012,
0.2708839,1.614766,0.30528,0.8538932,0.2511071,0.5782893,-3.097215,1.058896,
0.2709721,1.614827,0.3052332,0.8541223,0.2511838,0.5783305,-3.100856,1.05957,
0.2711459,1.614725,0.3053365,0.8540882,0.2510718,0.5779982,-3.111449,1.06311,
0.2709461,1.614627,0.3052694,0.85409,0.2514415,0.5780447,-3.116741,1.065502,
0.2708126,1.614466,0.3053941,0.8539355,0.2516993,0.5778215,-3.116286,1.065222,
0.2705141,1.61456,0.3054025,0.8539231,0.2514867,0.5777421,-3.119277,1.066429,
0.2703075,1.614507,0.305359,0.854063,0.2514841,0.5776942,-3.119989,1.068063,
0.270067,1.614581,0.3052374,0.8539106,0.2513445,0.5778215,-3.120738,1.069812,
0.2698069,1.61448,0.3051887,0.8540897,0.2513326,0.5778375,-3.123084,1.071223,
0.2696205,1.614498,0.3051887,0.8540781,0.2513317,0.5778198,-3.123714,1.073177,
0.2693185,1.614562,0.3054969,0.8539013,0.2516261,0.5777853,-3.124894,1.0747,
0.2682871,1.614793,0.3054902,0.8540435,0.2518741,0.5777955,-3.126236,1.079502,
0.2672414,1.61523,0.3055755,0.8539273,0.2513919,0.5777588,-3.126638,1.081578,
0.2672624,1.615348,0.3055385,0.854055,0.2517356,0.5777409,-3.125737,1.081219,
0.2667053,1.615634,0.3056674,0.853932,0.2517437,0.5779228,-3.124954,1.082939,
0.2661902,1.615946,0.3056213,0.854146,0.2516237,0.5779092,-3.122588,1.085286,
0.2657596,1.616227,0.3056458,0.854144,0.2517995,0.5778708,-3.121279,1.087029,
0.2650285,1.616461,0.3056231,0.8540016,0.2518369,0.577754,-3.120899,1.087582,
0.2632625,1.617323,0.3055165,0.8540181,0.2516375,0.5776901,-3.116878,1.091261,
0.2617102,1.617877,0.3054901,0.8542044,0.2515532,0.57815,-3.116534,1.092621,
