chair to collider angle,table to collider angle,audience to collider angle,


103.5317,54.22772,103.5317,
103.5317,54.22772,103.5317,
55.25079,147.755,72.75594,
64.54181,134.3827,86.96556,
54.26244,131.7783,77.04135,
53.36561,131.4481,76.42227,
52.50951,131.1215,75.83642,
51.708,130.8234,75.29029,
50.92988,130.4965,74.76872,
50.19845,130.1526,74.28111,
49.48639,129.7935,73.80046,
48.81501,129.4439,73.35338,
48.22063,129.1295,76.11234,
42.40956,127.5531,69.71697,
42.22124,127.5149,69.62681,
42.03907,127.4815,69.54925,
41.85682,127.4479,69.46609,
41.66417,127.3994,69.37257,
41.45393,127.3294,69.27356,
41.25439,127.2487,69.16811,
41.00446,127.1333,69.027,
40.73494,126.988,68.8663,
40.44854,126.8191,68.69225,
40.12033,126.5978,68.48643,
39.76431,126.3504,68.25408,
39.3801,126.0659,67.9919,
38.98856,125.7662,67.71619,
38.56789,125.4428,67.42004,
38.14387,125.1093,67.11996,
37.70534,124.7543,66.80214,
37.21336,124.3399,66.41628,
36.71851,123.9113,66.03013,
36.17916,123.4389,65.57874,
35.59696,122.9267,65.0687,
35.03435,122.4144,64.58846,
34.3599,121.7849,63.96111,
33.6855,121.124,63.32645,
32.89828,120.3464,62.55264,
32.15537,119.6005,61.84909,
31.34229,118.784,61.06929,
30.5172,117.9219,60.23961,
29.72017,117.086,59.45269,
28.91302,116.2086,58.6242,
28.14177,115.3462,57.79914,
27.38433,114.4729,56.96487,
26.69107,113.6479,56.16781,
26.03678,112.8232,55.38054,
25.44528,112.0278,54.64133,
24.89631,111.2598,53.92664,
24.4263,110.5216,53.26768,
24.03744,109.8288,52.64343,
23.75412,109.1876,52.07014,
23.56161,108.5788,51.52402,
23.46082,108.0209,51.03785,
23.54458,107.5838,50.66632,
23.79925,107.2494,50.39199,
24.2087,107.0101,50.21795,
24.6671,106.8011,50.07846,
25.2527,106.6833,50.0547,
25.94381,106.6476,50.1259,
26.62066,106.6136,50.20557,
27.30171,106.6257,50.34515,
27.93696,106.6557,50.50854,
28.50636,106.6981,50.69326,
29.0325,106.7231,50.86861,
29.488,106.8114,51.09552,
29.91647,106.8929,51.32433,
30.36824,107.04,51.62246,
30.81239,107.2471,51.98687,
31.2246,107.4457,52.33909,
31.5667,107.6697,52.72408,
31.85378,107.8957,53.09653,
32.09663,108.1189,53.46529,
32.35445,108.3791,53.87701,
32.57175,108.6623,54.30642,
32.77567,108.9341,54.71775,
32.98428,109.2128,55.13853,
33.13369,109.51,55.5698,
33.25393,109.7693,55.96143,
33.36866,110.0373,56.35944,
33.43454,110.2998,56.76088,
33.51487,110.553,57.15059,
33.58268,110.8063,57.54419,
33.63117,111.0394,57.918,
33.64353,111.2438,58.26047,
33.62415,111.434,58.58484,
33.5598,111.5891,58.87866,
33.42109,111.7001,59.12519,
33.23267,111.7633,59.32516,
33.00851,111.8132,59.51286,
32.73576,111.8004,59.63781,
32.40217,111.7119,59.68879,
32.06227,111.6023,59.72656,
31.62184,111.3957,59.66814,
31.10597,111.1322,59.54899,
30.48242,110.7695,59.33609,
29.7666,110.344,59.0672,
28.86887,109.7452,58.64537,
27.85999,109.0366,58.1148,
26.76768,108.24,57.51129,
