chair to collider angle,table to collider angle,audience to collider angle,


87.19049,20.83825,87.19049,
87.19049,20.83825,87.19049,
87.16855,20.84313,87.16855,
95.21436,32.70623,95.21436,
95.44627,32.97299,95.44627,
95.4051,33.05365,95.4051,
95.37479,33.1464,95.37479,
95.43784,33.16906,95.43784,
95.53572,33.15238,95.53572,
95.65064,33.14431,95.65064,
95.72912,33.15078,95.72912,
95.77631,33.16074,95.77631,
95.76166,33.20756,95.76166,
96.70583,33.888,96.70583,
96.6965,33.9296,96.6965,
96.69291,33.95287,96.69291,
96.69551,33.98026,96.69551,
96.69572,34.01431,96.69572,
96.67728,34.05006,96.67728,
96.70341,34.035,96.70341,
96.74515,34.01836,96.74515,
96.78385,34.00262,96.78385,
96.84833,33.97676,96.84833,
96.96117,33.95957,96.96117,
97.06155,33.95906,97.06155,
97.14222,34.02491,97.14222,
97.13727,34.1912,97.13727,
97.20749,34.39804,97.20749,
97.31895,34.69454,97.31895,
97.54467,35.04948,97.54467,
97.86258,35.42057,97.86258,
98.24831,35.82074,98.24831,
98.71423,36.31857,98.71423,
99.14252,36.80656,99.14252,
99.58182,37.33478,99.58182,
100.0357,37.87265,100.0357,
100.4866,38.39644,100.4866,
100.8965,38.93443,100.8965,
101.2849,39.47334,101.2849,
101.633,40.0283,101.633,
101.9633,40.58627,101.9633,
102.3258,41.10952,102.3258,
102.706,41.62153,102.706,
103.1076,42.18374,103.1076,
103.5412,42.74332,103.5412,
103.9894,43.3364,103.9894,
104.4507,43.9307,104.4507,
104.9223,44.52916,104.9223,
105.3966,45.11419,105.3966,
105.9066,45.72214,105.9066,
106.4413,46.3465,106.4413,
107.0251,46.99216,107.0251,
107.6165,47.65274,107.6165,
108.2362,48.32933,108.2362,
108.8438,48.97876,108.8438,
109.4649,49.58381,109.4649,
110.0858,50.17807,110.0858,
110.7059,50.73557,110.7059,
111.3015,51.30402,111.3015,
111.8747,51.85789,111.8747,
112.3811,52.39589,112.3811,
112.8615,52.92321,112.8615,
113.2329,53.40458,113.2329,
113.5731,53.8798,113.5731,
113.8606,54.32872,113.8606,
114.1617,54.80138,114.1617,
114.4631,55.2766,114.4631,
114.7311,55.7774,114.7311,
115.0296,56.2835,115.0296,
115.2731,56.76466,115.2731,
115.5248,57.23035,115.5248,
115.7289,57.68286,115.7289,
115.936,58.15324,115.936,
116.1656,58.68771,116.1656,
116.4264,59.25886,116.4264,
116.6661,59.90908,116.6661,
116.8666,60.53601,116.8666,
117.0579,61.15717,117.0579,
117.2177,61.75019,117.2177,
117.3504,62.32302,117.3504,
117.4968,62.8651,117.4968,
117.6357,63.36446,117.6357,
117.7836,63.83222,117.7836,
117.9409,64.27747,117.9409,
118.083,64.70367,118.083,
118.2123,65.11928,118.2123,
118.348,65.56104,118.348,
118.4529,66.02905,118.4529,
118.55,66.53128,118.55,
118.6561,67.05903,118.6561,
118.7605,67.61623,118.7605,
118.8648,68.21807,118.8648,
118.9594,68.8297,118.9594,
119.0513,69.48409,119.0513,
119.1487,70.11694,119.1487,
119.2377,70.74352,119.2377,
119.3207,71.31789,119.3207,
119.4093,71.84402,119.4093,
119.4988,72.33677,119.4988,
