pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.769124,4.025438,1.769124,0,4.507173,0,
1.769124,4.025438,1.769124,0,4.507173,0,
1.769386,2.390368,2.715754,0,1.959627,2.42499,
1.707191,2.24662,2.8078,1.164895,2.48841,2.658172,
1.703083,2.230121,2.804924,1.170516,2.492005,2.664912,
1.701926,2.225821,2.803604,1.173309,2.49347,2.668671,
1.70168,2.224023,2.803019,1.176379,2.495132,2.672301,
1.700159,2.218107,2.800741,1.184716,2.499322,2.683168,
1.699535,2.21488,2.799455,1.189899,2.501549,2.690586,
1.69957,2.214892,2.802946,1.235316,2.512588,2.769421,
1.696874,2.202575,2.793674,1.237344,2.51291,2.77318,
1.697164,2.202929,2.794138,1.239291,2.513189,2.776571,
1.697445,2.203275,2.79473,1.241311,2.513454,2.780117,
1.697409,2.203608,2.79489,1.243266,2.513855,2.783445,
1.697545,2.203903,2.795536,1.24519,2.514173,2.786821,
1.697648,2.204156,2.796038,1.247095,2.514407,2.790075,
1.697597,2.20427,2.796319,1.248974,2.514787,2.793308,
1.697658,2.204417,2.796671,1.250554,2.514867,2.796333,
1.697686,2.204515,2.79698,1.25213,2.515026,2.799042,
1.697338,2.204143,2.796604,1.253463,2.515015,2.800894,
1.697358,2.204176,2.796865,1.254502,2.514648,2.80323,
1.697404,2.20423,2.797266,1.255705,2.514545,2.805494,
1.697244,2.204052,2.797507,1.256526,2.514136,2.807101,
1.697343,2.20431,2.797896,1.257279,2.513735,2.808758,
1.697609,2.204514,2.798307,1.257535,2.512958,2.809723,
1.6979,2.204672,2.799297,1.258149,2.512536,2.811689,
1.698308,2.205036,2.799717,1.258018,2.511747,2.812297,
1.698604,2.205373,2.800162,1.25778,2.510932,2.812741,
1.699073,2.205777,2.800587,1.257211,2.509775,2.812628,
1.699562,2.206256,2.801244,1.256482,2.508956,2.812385,
1.700145,2.206689,2.801804,1.255563,2.508028,2.811872,
1.700944,2.206832,2.801891,1.254875,2.507046,2.81118,
1.701647,2.207252,2.802423,1.253493,2.506101,2.809996,
1.702336,2.207266,2.802644,1.252005,2.505105,2.808545,
1.70321,2.207548,2.802748,1.250774,2.504635,2.807449,
1.704039,2.207442,2.802842,1.248711,2.503985,2.805112,
1.70471,2.207026,2.802548,1.24691,2.503221,2.803042,
1.705366,2.206595,2.802196,1.244702,2.502504,2.800302,
1.705887,2.206018,2.801969,1.24218,2.501649,2.797738,
1.706384,2.205196,2.801399,1.239567,2.500698,2.794771,
1.706501,2.204049,2.800527,1.237085,2.499814,2.792115,
1.706438,2.202778,2.799566,1.234087,2.49896,2.788969,
1.706319,2.201299,2.798421,1.230705,2.497623,2.785494,
1.706015,2.199728,2.79729,1.227323,2.49635,2.782285,
1.705609,2.198079,2.796107,1.223329,2.49496,2.778606,
1.705158,2.196313,2.794737,1.219159,2.493362,2.774663,
1.704565,2.194236,2.793356,1.215065,2.491761,2.770824,
1.703973,2.192381,2.791589,1.2104,2.48966,2.766615,
1.703323,2.190542,2.789602,1.205667,2.487759,2.76207,
1.70257,2.188598,2.787394,1.201147,2.48578,2.757693,
