chair to collider angle,table to collider angle,audience to collider angle,


98.80714,146.7517,98.80714,
98.80714,146.7517,98.80714,
98.81704,152.1404,85.93295,
74.25892,72.53225,132.9667,
72.3694,66.63118,130.0978,
71.95616,65.06031,129.3369,
71.7277,64.32346,128.9303,
71.10057,62.21187,127.7916,
70.78266,60.88765,127.1032,
70.84571,60.98319,127.258,
70.20627,57.3249,125.5637,
70.36828,57.57048,125.7976,
70.51934,57.76,125.9997,
70.61982,57.9066,126.1554,
70.68933,58.03547,126.2763,
70.70377,58.09143,126.3273,
70.69889,58.11634,126.3505,
70.6597,58.08913,126.3294,
70.61027,58.03216,126.2808,
70.54941,57.90176,126.2105,
70.48524,57.75798,126.1195,
70.44683,57.64191,126.0522,
70.42204,57.54357,126.0043,
70.43291,57.46387,125.9808,
70.47755,57.42258,126.0029,
70.58047,57.41732,126.0678,
70.71734,57.47104,126.1947,
70.88654,57.57487,126.3672,
71.09881,57.72327,126.5906,
71.32336,57.89332,126.8267,
71.60702,58.08078,127.1127,
71.94764,58.24332,127.4352,
72.35542,58.38817,127.7864,
72.82666,58.47238,128.1628,
73.36346,58.4655,128.5382,
73.84996,58.37262,128.8353,
74.33993,58.16982,129.0803,
74.74078,57.87472,129.2124,
75.07003,57.46858,129.2414,
75.28214,56.97243,129.1368,
75.44289,56.39683,128.9606,
75.46884,55.66385,128.6053,
75.38362,54.84526,128.1333,
75.22305,53.907,127.5415,
75.00269,52.87482,126.845,
74.73328,51.74606,126.0566,
74.48817,50.62465,125.276,
74.21656,49.42883,124.4164,
73.93051,48.2083,123.5249,
73.6286,46.9506,122.5947,
73.33949,45.69088,121.6515,
73.06651,44.4866,120.7306,
72.80505,43.30355,119.8292,
72.53377,42.18467,118.9567,
72.25108,41.11418,118.1053,
71.95724,40.11591,117.2972,
71.67871,39.21273,116.5576,
71.42546,38.32882,115.8375,
71.20506,37.56541,115.2063,
71.00489,36.89357,114.6582,
70.78583,36.29779,114.1586,
70.52768,35.73072,113.6645,
70.22153,35.19263,113.1841,
69.91632,34.65464,112.6904,
69.58852,34.14337,112.2193,
69.25691,33.65522,111.7487,
68.92144,33.16028,111.2766,
68.65435,32.66981,110.8278,
68.40114,32.13763,110.352,
68.14085,31.56263,109.8433,
67.89671,30.94242,109.2841,
67.65334,30.32368,108.7274,
67.41337,29.67931,108.1568,
67.22782,28.99471,107.5862,
67.04389,28.30973,106.9962,
66.89342,27.59937,106.3999,
66.83908,26.85275,105.7934,
66.82342,26.09282,105.1964,
66.84235,25.33683,104.6025,
66.93798,24.5506,103.9917,
67.0835,23.76344,103.3866,
67.32292,22.96485,102.789,
67.69576,22.15672,102.1894,
68.18962,21.39146,101.6181,
68.95575,20.66139,101.0665,
69.83118,20.01888,100.5131,
70.72771,19.5039,99.95325,
71.61208,19.13407,99.426,
72.52998,18.93565,98.94377,
73.35242,18.84226,98.47739,
74.04627,18.77001,97.96185,
74.63795,18.71215,97.43616,
75.02515,18.58449,96.85609,
75.26047,18.41554,96.2727,
75.40694,18.24379,95.71564,
75.57056,18.1333,95.20093,
75.79668,18.08549,94.6776,
76.04131,18.08771,94.15263,
76.25886,18.10981,93.65708,
