user x,user y,table x,table y,chair x,chair y,audience x,audience y,


0.1127247,1.597738,-3.876983,2.05678,0,0,0,0,
0.1127247,1.597738,-3.876983,2.05678,0,0,0,0,
0.1130014,1.597854,-1.549902,0.8840292,0,0,1.542586,1.110978,
-0.07119527,1.530552,-1.550154,0.8836428,0,0,1.545536,1.110736,
-0.08358636,1.531431,-1.550258,0.8835521,0,0,1.545688,1.110677,
-0.08635294,1.531816,-1.550263,0.8836985,0,0,1.545862,1.110811,
-0.08772221,1.532203,-1.550273,0.883651,0,0,1.545909,1.110777,
-0.09115118,1.533058,-1.550267,0.8840814,0,0,1.546388,1.11122,
-0.09289634,1.533774,-1.550076,0.8840625,0,0,1.546775,1.111545,
-0.09258677,1.533814,-1.549624,0.8836434,0,0,1.552235,1.112021,
-0.09633846,1.538108,-1.549671,0.8837043,0,0,1.552639,1.111912,
-0.09599349,1.538369,-1.549536,0.8837219,0,0,1.553146,1.112161,
-0.09570652,1.538616,-1.549524,0.8836395,0,0,1.553825,1.11226,
-0.09518608,1.53867,-1.549644,0.8836901,0,0,1.554325,1.112408,
-0.09481403,1.538781,-1.549498,0.8836997,0,0,1.555211,1.112657,
-0.09444293,1.538904,-1.549485,0.8835385,0,0,1.555952,1.112826,
-0.09415925,1.538939,-1.549574,0.883606,0,0,1.556493,1.113015,
-0.09382844,1.539118,-1.549629,0.8836111,0,0,1.55706,1.113382,
-0.09357458,1.539243,-1.54961,0.883727,0,0,1.55757,1.113531,
-0.0936264,1.539111,-1.549662,0.8837078,0,0,1.558163,1.114161,
-0.09344626,1.539272,-1.549811,0.8837298,0,0,1.558777,1.114386,
-0.09330304,1.539397,-1.549802,0.8838192,0,0,1.559382,1.114559,
-0.09329139,1.539402,-1.549818,0.8837688,0,0,1.559872,1.114609,
-0.09315217,1.539486,-1.55001,0.8837712,0,0,1.560109,1.11471,
-0.09299959,1.539784,-1.55005,0.8836694,0,0,1.560601,1.114814,
-0.09294824,1.540075,-1.550011,0.8836424,0,0,1.5611,1.114407,
-0.09276313,1.540533,-1.55024,0.8836728,0,0,1.56155,1.114258,
-0.09252322,1.540849,-1.550268,0.8837849,0,0,1.56217,1.114101,
-0.09223603,1.541279,-1.550112,0.8837006,0,0,1.56285,1.114042,
-0.09206287,1.5417,-1.55021,0.8837012,0,0,1.563469,1.113826,
-0.09188182,1.542261,-1.550235,0.8837059,0,0,1.564169,1.113444,
-0.09181423,1.543012,-1.550134,0.8838869,0,0,1.564838,1.113577,
-0.09180988,1.543657,-1.550238,0.8838834,0,0,1.565436,1.113318,
-0.09188259,1.544485,-1.550224,0.8837476,0,0,1.566054,1.113056,
-0.09199123,1.545555,-1.55024,0.8835562,0,0,1.566711,1.112788,
-0.09217714,1.546675,-1.550272,0.8835229,0,0,1.567312,1.112436,
-0.09242924,1.54776,-1.550197,0.8836776,0,0,1.567928,1.112084,
-0.09282499,1.548884,-1.550206,0.8835632,0,0,1.568555,1.111568,
-0.09313315,1.549959,-1.550371,0.8835365,0,0,1.569463,1.1109,
-0.09343788,1.551069,-1.550268,0.8835562,0,0,1.570125,1.110204,
-0.09373286,1.551943,-1.55028,0.8835913,0,0,1.570716,1.109609,
