pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.565442,4.118845,1.565442,0,4.507173,0,
1.565442,4.118845,1.565442,0,4.507173,0,
1.565482,1.870122,2.765711,0,1.997712,2.726905,
1.536668,1.917728,2.772584,0.8079825,1.966828,2.869122,
1.53712,1.927198,2.777978,0.8085398,1.968892,2.869178,
1.537386,1.928694,2.778659,0.8090775,1.970999,2.869574,
1.537447,1.930145,2.779067,0.8095571,1.973164,2.869498,
1.537537,1.93441,2.77979,0.8111835,1.978678,2.870208,
1.537508,1.937236,2.779809,0.8120564,1.982834,2.869155,
1.537329,1.937224,2.77935,0.8118534,1.982751,2.869159,
1.537293,1.938428,2.76935,0.8108875,2.013704,2.862749,
1.537932,1.957456,2.774384,0.8104662,2.015045,2.861907,
1.538103,1.958099,2.773923,0.8100184,2.016585,2.860466,
1.538149,1.958905,2.7734,0.8095416,2.017998,2.85924,
1.538347,1.959528,2.773244,0.8091317,2.019289,2.858011,
1.538608,1.960275,2.773063,0.8086771,2.020905,2.856138,
1.538783,1.960782,2.772657,0.8084788,2.022481,2.855058,
1.539056,1.961323,2.772453,0.8080405,2.023854,2.853105,
1.539332,1.962049,2.772095,0.8076026,2.025515,2.851469,
1.539883,1.962599,2.772093,0.8069962,2.026781,2.849367,
1.540268,1.963117,2.771564,0.8068336,2.02779,2.848092,
1.540796,1.963515,2.770856,0.8063368,2.028801,2.845534,
1.541492,1.963974,2.770326,0.805783,2.029944,2.842339,
1.54205,1.964443,2.769058,0.805424,2.030848,2.839519,
1.542616,1.964935,2.768018,0.8048913,2.031723,2.836001,
1.543168,1.965528,2.766551,0.8046209,2.033134,2.831985,
1.543859,1.965958,2.765024,0.8039491,2.034051,2.827737,
1.544651,1.96642,2.763644,0.8033629,2.034868,2.823957,
1.545651,1.966826,2.762045,0.8028273,2.03575,2.819314,
1.546901,1.967392,2.76069,0.802141,2.036291,2.815727,
1.548099,1.96775,2.7593,0.8014696,2.036923,2.812119,
1.549201,1.968409,2.757735,0.8007513,2.037438,2.807604,
1.550579,1.968866,2.756385,0.8000304,2.037527,2.80389,
1.552292,1.969498,2.754636,0.7991328,2.038179,2.79899,
1.553954,1.969881,2.75273,0.7984243,2.038162,2.794983,
1.555964,1.970335,2.751167,0.7976774,2.038272,2.790879,
1.55813,1.970718,2.749511,0.7968392,2.038456,2.786165,
1.56032,1.970929,2.748085,0.7960132,2.038266,2.781689,
1.562241,1.970883,2.746913,0.7952424,2.038048,2.77716,
1.563958,1.970607,2.745553,0.7945775,2.037751,2.772998,
1.565481,1.970185,2.744346,0.7940632,2.037225,2.7679,
1.566682,1.969545,2.742932,0.7935587,2.036913,2.763089,
1.56764,1.968722,2.741584,0.7930812,2.036483,2.758658,
1.568241,1.967824,2.739679,0.792791,2.035926,2.753435,
1.568901,1.966845,2.738227,0.792343,2.035258,2.748584,
1.569476,1.965636,2.73639,0.7917949,2.034753,2.743324,
1.569829,1.964736,2.73379,0.7913758,2.034126,2.737476,
1.570327,1.963645,2.731466,0.790848,2.033181,2.731838,
1.570655,1.962421,2.728993,0.7898082,2.03241,2.725439,
