chair to collider angle,table to collider angle,audience to collider angle,


76.27585,63.92344,76.27585,
76.27585,63.92344,76.27585,
76.2852,116.7225,14.0116,
59.10493,111.4181,24.32219,
59.20442,110.3782,23.31792,
59.20209,110.2094,23.17135,
59.19645,110.0349,23.0183,
59.16926,109.4817,22.56811,
59.10141,109.0182,22.22491,
59.06694,108.9514,22.18442,
59.0205,108.6825,22.11643,
58.05472,100.724,16.2836,
58.01217,100.2355,16.00628,
57.964,99.75658,15.76621,
57.93558,99.30733,15.52974,
57.92596,98.91403,15.31739,
57.93046,98.52718,15.09943,
57.97231,98.2205,14.89037,
58.0091,97.89352,14.68394,
58.09573,97.63114,14.44085,
58.20966,97.4284,14.20164,
58.38656,97.25848,13.92514,
58.60725,97.10124,13.59228,
58.8772,97.01453,13.2418,
59.11842,96.91982,12.91161,
59.36932,96.84413,12.5871,
59.67976,96.80233,12.21884,
60.09321,96.82043,11.75292,
60.68116,96.93867,11.13657,
61.38631,97.09931,10.40577,
62.108,97.29893,9.674307,
62.8924,97.53078,8.89278,
63.67126,97.76071,8.118587,
64.58794,98.07856,7.236493,
65.62803,98.44482,6.242872,
66.81055,98.86347,5.147498,
68.07026,99.32402,4.059991,
69.2207,99.72346,3.186412,
70.2091,100.0592,2.647376,
71.01439,100.3253,2.456228,
71.597,100.4781,2.477255,
72.01044,100.5726,2.581492,
72.25059,100.5858,2.653948,
72.39074,100.5431,2.673129,
72.45695,100.4628,2.664181,
72.53838,100.392,2.664107,
72.67346,100.3204,2.690427,
72.84075,100.2678,2.779956,
72.96598,100.2082,2.852315,
73.03199,100.1484,2.88018,
73.25247,99.97774,3.050436,
73.45434,99.8473,3.229254,
73.50891,99.8614,3.275962,
73.69965,99.82795,3.470231,
73.83975,99.77152,3.618607,
73.9304,99.6954,3.719786,
73.93753,99.57898,3.760465,
73.93536,99.4525,3.793954,
73.9381,99.31068,3.841501,
73.96263,99.15816,3.922263,
73.98666,98.98119,4.01576,
74.02154,98.8133,4.12787,
74.03625,98.61945,4.245563,
74.06208,98.02394,4.605131,
74.10409,97.4847,4.984956,
74.11129,97.45572,5.002963,
74.18113,97.1844,5.26172,
74.23553,96.90517,5.51864,
74.29202,96.65331,5.764018,
74.33738,96.3753,6.02737,
74.36267,96.10188,6.27423,
74.39417,95.83273,6.527054,
74.41228,95.54401,6.788506,
74.43762,95.2841,7.037344,
74.46027,95.04102,7.275294,
74.46262,94.80041,7.500068,
74.44677,94.56876,7.695365,
74.39989,94.34927,7.85028,
74.34102,94.12614,7.997749,
74.25058,93.89666,8.124437,
74.14902,93.70036,8.224187,
74.05213,93.50513,8.332228,
73.96764,93.29601,8.438011,
73.87375,93.08947,8.528182,
73.8063,92.88885,8.662995,
73.72338,92.65902,8.814565,
73.62085,92.41798,8.94648,
73.49738,92.13053,9.105715,
73.35842,91.82968,9.276609,
73.22709,91.5067,9.469214,
73.08175,91.14808,9.692051,
72.94564,90.74451,9.973127,
72.77773,90.31989,10.25663,
72.59739,89.84834,10.57901,
72.40144,89.36499,10.91403,
72.1883,88.87643,11.25508,
71.91846,88.32555,11.62597,
71.60163,87.7531,12.006,
71.19509,87.13497,12.37854,
