user x,user y,table x,table y,chair x,chair y,audience x,audience y,


0.03011471,1.555116,-3.876983,2.05678,0,0,0,0,
0.03011471,1.555116,-3.876983,2.05678,0,0,0,0,
0.02982579,1.555115,-1.208653,0.8139422,0,0,-1.077594,1.001953,
0.102855,1.524727,-1.20874,0.8136716,0,0,-1.078072,1.002184,
0.1166198,1.524227,-1.208783,0.8136959,0,0,-1.078148,1.002127,
0.1187372,1.524334,-1.208642,0.8136375,0,0,-1.078058,1.001899,
0.1208112,1.524247,-1.208599,0.813987,0,0,-1.07813,1.001863,
0.126578,1.523939,-1.208634,0.8140385,0,0,-1.078079,1.001774,
0.130492,1.523622,-1.208649,0.8141174,0,0,-1.07798,1.001894,
0.1302342,1.523476,-1.208735,0.8140376,0,0,-1.077799,1.001804,
0.1321205,1.523302,-1.20848,0.8142343,0,0,-1.081898,1.002802,
0.155429,1.522278,-1.208501,0.8139613,0,0,-1.082544,1.002955,
0.1561391,1.522395,-1.208494,0.8139572,0,0,-1.08299,1.003093,
0.1569093,1.522393,-1.208679,0.8139479,0,0,-1.08351,1.003293,
0.1577199,1.522511,-1.208709,0.8137417,0,0,-1.084123,1.003462,
0.1585895,1.522698,-1.208691,0.8136992,0,0,-1.084927,1.003554,
0.1593197,1.522814,-1.208473,0.813684,0,0,-1.085472,1.003706,
0.1599438,1.523032,-1.208457,0.8137527,0,0,-1.086529,1.00371,
0.1604515,1.523271,-1.208694,0.8137589,0,0,-1.08733,1.003662,
0.1610693,1.523739,-1.208851,0.813735,0,0,-1.088124,1.003289,
0.1615932,1.524078,-1.208827,0.8143203,0,0,-1.088957,1.003014,
0.1619897,1.524586,-1.208642,0.8143268,0,0,-1.089618,1.003211,
0.1624951,1.525219,-1.208791,0.8144341,0,0,-1.090181,1.003139,
0.1629111,1.525738,-1.208797,0.8146102,0,0,-1.090677,1.003276,
0.1635642,1.52624,-1.208652,0.8146484,0,0,-1.091019,1.002912,
0.1638941,1.526764,-1.208519,0.8145165,0,0,-1.091308,1.00301,
0.1640794,1.527451,-1.208519,0.8144143,0,0,-1.091873,1.003224,
0.1643931,1.528214,-1.208504,0.8144546,0,0,-1.092458,1.003506,
0.1644472,1.529239,-1.208224,0.8144827,0,0,-1.0931,1.003979,
0.1644207,1.530525,-1.208203,0.8144841,0,0,-1.093833,1.004425,
0.1642531,1.531756,-1.208291,0.8145802,0,0,-1.094641,1.005053,
0.1641637,1.532903,-1.208538,0.814605,0,0,-1.095381,1.005532,
0.1640024,1.534317,-1.208587,0.8141558,0,0,-1.096265,1.005981,
0.1637794,1.536101,-1.20856,0.8141575,0,0,-1.096855,1.006639,
0.16347,1.537826,-1.208391,0.8141792,0,0,-1.097098,1.007142,
0.1630833,1.539893,-1.208393,0.8141072,0,0,-1.097514,1.007611,
0.162676,1.542099,-1.208401,0.8141079,0,0,-1.097792,1.007957,
0.1622818,1.544293,-1.208453,0.8140788,0,0,-1.097951,1.008259,
0.1619328,1.546186,-1.208473,0.8139954,0,0,-1.09811,1.008443,
0.161425,1.547886,-1.208463,0.8139625,0,0,-1.098207,1.008689,
0.1610591,1.549346,-1.208562,0.8139853,0,0,-1.098239,1.008806,
