pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.632856,4.095936,1.632856,0,4.507173,0,
1.632856,4.095936,1.632856,0,4.507173,0,
2.142217,2.237689,2.322446,1.870333,1.926542,2.557477,
2.026009,2.312554,2.200722,1.964396,2.389437,2.241614,
2.054768,2.314051,2.229474,1.967114,2.394635,2.243047,
2.063517,2.31472,2.238297,1.96893,2.39682,2.244553,
2.06812,2.314972,2.242426,1.970904,2.399091,2.245705,
2.08159,2.317176,2.25594,1.977005,2.406527,2.250949,
2.090819,2.318855,2.26534,1.981906,2.411016,2.255763,
2.090738,2.318164,2.290034,2.003266,2.446142,2.312196,
2.161368,2.321007,2.369483,2.000813,2.456276,2.30935,
2.164068,2.320707,2.37554,2.00047,2.45662,2.312501,
2.166701,2.320365,2.38075,2.000188,2.456884,2.315179,
2.169331,2.320414,2.385486,1.999955,2.456318,2.317693,
2.171915,2.320156,2.390724,1.99938,2.456372,2.32015,
2.174267,2.320003,2.395942,1.998452,2.455515,2.322545,
2.176658,2.319842,2.401046,1.997727,2.455092,2.324977,
2.179271,2.319747,2.406733,1.997217,2.454167,2.328162,
2.181359,2.319602,2.411903,1.996278,2.452896,2.330836,
2.183422,2.319319,2.416753,1.995222,2.451471,2.333298,
2.185588,2.319221,2.423326,1.994167,2.450274,2.336987,
2.187403,2.318427,2.428902,1.993141,2.448449,2.340254,
2.189129,2.317448,2.432239,1.992266,2.446835,2.341368,
2.190823,2.316648,2.43741,1.991082,2.444661,2.344322,
2.192252,2.315582,2.44267,1.990191,2.442789,2.347336,
2.193594,2.3141,2.449011,1.989298,2.440967,2.352095,
2.194954,2.312672,2.454648,1.98844,2.439106,2.355907,
2.196015,2.310842,2.460271,1.987496,2.437004,2.360312,
2.19707,2.308921,2.466776,1.986752,2.435246,2.365737,
2.198084,2.307013,2.472602,1.985941,2.433379,2.370417,
2.198905,2.304687,2.478078,1.984784,2.431377,2.37486,
2.199626,2.302213,2.482413,1.983682,2.429229,2.378535,
2.20052,2.300303,2.488006,1.982685,2.42751,2.383215,
2.200992,2.29797,2.493739,1.981138,2.42514,2.387917,
2.201522,2.295261,2.501642,1.979616,2.422626,2.394335,
2.201926,2.29247,2.507039,1.977974,2.419415,2.39866,
2.202203,2.2897,2.513095,1.976403,2.416473,2.403648,
2.202471,2.28698,2.518768,1.974903,2.413342,2.408396,
2.202749,2.28417,2.524131,1.973347,2.410198,2.412639,
2.202742,2.281454,2.5274,1.972092,2.406453,2.415682,
2.20282,2.2782,2.530471,1.970892,2.402744,2.418502,
2.202865,2.275578,2.535401,1.969953,2.398853,2.423045,
2.202814,2.272172,2.538837,1.968822,2.394811,2.426152,
2.202706,2.268771,2.541703,1.967789,2.390574,2.428778,
2.202481,2.265249,2.545781,1.966627,2.38618,2.432326,
2.202173,2.261508,2.548782,1.965392,2.381425,2.434863,
2.201906,2.258069,2.553444,1.964289,2.37713,2.438902,
2.201558,2.25472,2.556829,1.963329,2.372957,2.441899,
2.201247,2.25063,2.559679,1.962238,2.367954,2.444465,
2.200937,2.246716,2.557242,1.961102,2.36297,2.44238,
