chair to collider angle,table to collider angle,audience to collider angle,


119.0503,80.86057,119.0503,
119.0503,80.86057,119.0503,
86.50142,175.2865,68.08605,
30.95633,114.5974,33.91733,
25.16895,109.7994,30.37179,
23.8487,108.5717,29.68275,
23.2156,107.9376,29.41565,
21.30959,106.0747,28.56341,
20.04057,104.9771,27.86089,
20.02021,105.0449,28.77705,
10.18302,90.91985,27.07838,
10.00695,90.14746,27.23607,
9.826813,89.4541,27.32258,
9.598618,88.87183,27.2968,
9.396827,88.36147,27.24319,
9.233887,87.9124,27.18106,
9.084585,87.52298,27.10113,
8.955347,87.14173,27.02153,
8.833866,86.84195,26.92333,
8.745926,86.54076,26.8574,
8.702335,86.25987,26.81231,
8.700372,85.98604,26.80379,
8.714065,85.72269,26.79412,
8.751584,85.45251,26.80875,
8.818219,85.18114,26.79402,
8.934283,84.87369,26.87473,
9.07149,84.5389,26.95474,
9.284804,84.14828,27.16366,
9.52481,83.74473,27.3418,
9.853091,83.2682,27.59031,
10.2301,82.76163,27.90209,
10.65682,82.21828,28.23336,
11.10128,81.66386,28.57073,
11.60419,81.08496,28.95364,
12.13338,80.49205,29.35304,
12.66864,79.91729,29.75326,
13.22589,79.34222,30.17131,
13.78728,78.7747,30.5995,
14.35409,78.21281,31.02279,
14.93459,77.66601,31.47026,
15.51916,77.12863,31.91029,
16.12683,76.57308,32.36689,
16.77173,76.01601,32.85986,
17.42497,75.46198,33.36856,
18.08475,74.91339,33.89208,
18.78671,74.34362,34.47051,
19.47987,73.78454,35.03558,
20.20399,73.21536,35.62691,
20.95797,72.62701,36.286,
21.70421,72.05793,36.91156,
22.4929,71.46559,37.5598,
23.27342,70.8736,38.22426,
24.03993,70.27712,38.85931,
24.80054,69.6647,39.46467,
25.57327,69.02761,40.08929,
26.35014,68.37058,40.70541,
27.13077,67.71895,41.34543,
27.90916,67.06042,41.97028,
28.69867,66.39577,42.6093,
29.47066,65.73087,43.22926,
30.24944,65.06871,43.84465,
31.03562,64.39776,44.45684,
31.81327,63.74178,45.0611,
32.59706,63.08945,45.6527,
33.38858,62.42658,46.25455,
34.17706,61.77725,46.85556,
34.97623,61.12103,47.46994,
35.77392,60.48858,48.09324,
36.55592,59.86269,48.71852,
37.33971,59.2452,49.35348,
38.11197,58.63634,49.97403,
38.86718,58.05054,50.58705,
39.60414,57.46275,51.16323,
40.33502,56.87137,51.73879,
41.03677,56.30072,52.28306,
41.73906,55.73083,52.82394,
42.45649,55.13499,53.36225,
43.16113,54.55438,53.90071,
43.89256,53.9547,54.47738,
44.64268,53.33334,55.05138,
45.40757,52.71452,55.66619,
46.19497,52.1013,56.27923,
46.99124,51.47523,56.9189,
47.761,50.8619,57.52489,
48.55215,50.23503,58.14639,
49.32365,49.62045,58.75249,
50.07876,49.02221,59.35353,
50.84376,48.39018,59.93952,
51.59221,47.7717,60.51566,
52.33434,47.16459,61.10587,
53.068,46.5531,61.66687,
53.80551,45.92723,62.22221,
54.52872,45.3135,62.76244,
55.26154,44.69984,63.3195,
55.99447,44.08439,63.86173,
56.70304,43.49715,64.37741,
57.43234,42.89693,64.93857,
58.13114,42.31961,65.46093,
58.83959,41.74428,66.00092,
