pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.622185,4.002827,1.622185,0,4.507173,0,
1.622185,4.002827,1.622185,0,4.507173,0,
1.622185,1.666329,2.190874,0,1.656612,2.513397,
1.640944,1.653758,2.223815,0.8446047,1.727439,2.307828,
1.641669,1.656698,2.222232,0.8442447,1.727254,2.307292,
1.641705,1.657098,2.222793,0.8441408,1.727063,2.307614,
1.641774,1.657359,2.222837,0.8435208,1.726849,2.308177,
1.641778,1.657595,2.22249,0.8432269,1.726708,2.308054,
1.64176,1.657796,2.221614,0.843167,1.726685,2.30718,
1.641807,1.658051,2.220428,0.8425844,1.726467,2.306722,
1.641825,1.658135,2.219852,0.8397051,1.72325,2.304967,
1.643848,1.663165,2.212634,0.8398333,1.723262,2.304703,
1.643904,1.663261,2.212283,0.8397396,1.723155,2.304858,
1.643836,1.663287,2.211858,0.8393921,1.723033,2.305152,
1.643718,1.663239,2.211376,0.8394957,1.723045,2.304962,
1.64359,1.663087,2.210796,0.8394469,1.723063,2.304913,
1.643395,1.663046,2.210046,0.839198,1.722973,2.304913,
1.64322,1.662954,2.209446,0.8394192,1.7232,2.30443,
1.643068,1.662914,2.208786,0.8394266,1.723199,2.30441,
1.642878,1.662744,2.207937,0.8393146,1.723509,2.304725,
1.642641,1.662596,2.207031,0.8395358,1.723755,2.304412,
1.642448,1.662431,2.206063,0.8395709,1.723914,2.304226,
1.642423,1.662343,2.205321,0.8393484,1.723908,2.304021,
1.642249,1.662217,2.204449,0.8394784,1.724035,2.303972,
1.642074,1.662166,2.203538,0.8394845,1.72418,2.303707,
1.641977,1.662079,2.202476,0.8392704,1.724411,2.303751,
1.641846,1.661898,2.201467,0.8394771,1.724585,2.30307,
1.641667,1.661692,2.200413,0.8394629,1.724714,2.302898,
1.64137,1.661443,2.199234,0.839243,1.724568,2.302788,
1.641178,1.661241,2.198148,0.8394623,1.724836,2.301903,
1.640901,1.660841,2.197005,0.8392935,1.724826,2.301591,
1.640525,1.660555,2.19585,0.8391813,1.724726,2.301085,
1.640184,1.660182,2.19467,0.8389972,1.724644,2.300674,
1.639843,1.659876,2.193289,0.8388615,1.724627,2.300281,
1.639434,1.659388,2.192053,0.8388497,1.724597,2.299913,
1.638933,1.658791,2.190619,0.8387358,1.724529,2.299365,
1.638345,1.658218,2.189092,0.8386071,1.724471,2.298787,
1.637647,1.657525,2.187347,0.838401,1.724411,2.29815,
1.636776,1.656671,2.185837,0.8382478,1.724259,2.297479,
1.63583,1.655802,2.184331,0.8383487,1.724291,2.296652,
1.634799,1.654881,2.182937,0.838156,1.724121,2.296075,
1.633623,1.653903,2.181451,0.8380599,1.724026,2.29547,
1.63235,1.652698,2.179809,0.8382009,1.723914,2.29481,
1.631071,1.651694,2.178389,0.8379438,1.723659,2.29421,
1.629781,1.650654,2.176971,0.8378327,1.723623,2.293734,
1.628559,1.649788,2.175069,0.8377545,1.723499,2.293057,
1.627491,1.648907,2.173193,0.8376495,1.72372,2.292551,
1.626604,1.648119,2.171221,0.8373843,1.723751,2.2919,
1.625903,1.647453,2.169652,0.8372788,1.723642,2.291473,
