chair to collider angle,table to collider angle,audience to collider angle,


98.48646,77.62952,98.48646,
98.48646,77.62952,98.48646,
119.0259,134.4658,76.1333,
117.5853,133.7923,74.92116,
117.1981,133.5455,74.6664,
117.0071,133.4305,74.56596,
116.8814,133.3448,74.4854,
116.4901,133.0662,74.29605,
116.142,132.7754,74.16178,
116.0834,132.701,74.34413,
111.4845,128.3974,72.98083,
111.1941,128.1715,72.90045,
110.9007,127.9581,72.79475,
110.6514,127.7767,72.71809,
109.8393,127.2061,72.4507,
109.8297,127.2072,72.43562,
109.5364,127.0139,72.35004,
109.2393,126.8082,72.24364,
108.951,126.6102,72.14465,
108.6689,126.4252,72.04169,
108.4002,126.2434,71.94537,
108.1241,126.0961,71.8376,
107.8614,125.9387,71.74045,
107.5936,125.7916,71.64201,
107.3273,125.65,71.5463,
107.085,125.5293,71.45124,
106.8526,125.4107,71.35117,
106.6243,125.318,71.24326,
106.4198,125.2388,71.17567,
106.231,125.1521,71.09358,
106.05,125.0849,71.02206,
105.8668,125.0082,70.94008,
105.6895,124.9381,70.84637,
105.5193,124.8832,70.76044,
105.3561,124.8254,70.7018,
105.2097,124.7887,70.61811,
105.0688,124.7344,70.55217,
104.9034,124.7161,70.44716,
104.7437,124.6642,70.36324,
104.5637,124.63,70.2711,
104.375,124.5901,70.17611,
104.2008,124.5512,70.07611,
104.0037,124.5387,69.95992,
103.8028,124.5203,69.82891,
103.6125,124.5096,69.69704,
103.4122,124.4987,69.5639,
103.231,124.4882,69.44849,
103.0413,124.4824,69.31751,
102.8617,124.4705,69.19946,
102.6589,124.4548,69.0794,
102.464,124.4332,68.95374,
102.2799,124.4064,68.85187,
102.097,124.3704,68.76411,
101.9227,124.3118,68.67075,
101.7873,124.2785,68.62913,
101.6187,124.2214,68.54773,
101.4596,124.189,68.45734,
101.3091,124.1744,68.40866,
101.1398,124.1726,68.29459,
100.9909,124.1539,68.203,
100.8293,124.1402,68.13966,
100.6709,124.0949,68.05956,
100.5117,124.0872,67.95264,
100.372,124.0727,67.87486,
100.1861,124.047,67.75768,
100.0573,124.0381,67.67548,
99.87434,124.0029,67.5726,
99.71433,123.9564,67.4843,
99.5594,123.9053,67.39681,
99.39913,123.8611,67.31615,
99.23796,123.8027,67.23285,
99.10046,123.7467,67.14997,
98.9649,123.6947,67.08086,
98.86112,123.645,67.04243,
98.77986,123.564,67.02283,
98.68221,123.4528,67.01058,
98.56827,123.3137,67.00552,
98.43732,123.1573,66.98679,
98.27905,122.9912,66.9566,
98.12463,122.8474,66.91094,
97.99258,122.7017,66.88322,
97.85518,122.5969,66.83209,
97.77276,122.5024,66.81703,
97.71496,122.4372,66.78946,
97.64151,122.3713,66.75233,
97.5376,122.2876,66.69875,
97.39482,122.1972,66.59502,
97.23542,122.098,66.50393,
97.01299,122.0081,66.34433,
96.80783,121.9368,66.17472,
96.54977,121.8728,65.96651,
96.30554,121.856,65.73278,
96.06699,121.8679,65.47648,
95.81655,121.9528,65.19898,
95.57377,122.0772,64.86645,
95.35328,122.224,64.5198,
95.1006,122.4039,64.17545,
94.82196,122.5971,63.7645,
94.52087,122.7886,63.30801,
94.14565,122.9884,62.80021,
