chair to collider angle,table to collider angle,audience to collider angle,


120.2477,66.92906,120.2477,
120.2477,66.92906,120.2477,
120.2846,66.91164,120.2846,
85.87321,13.68757,85.87321,
82.87617,22.52331,82.87617,
82.40725,23.68351,82.40725,
81.91975,24.82636,81.91975,
80.36102,28.25484,80.36102,
79.03481,30.45785,79.03481,
78.77985,30.42945,78.77985,
77.96947,31.56993,77.96947,
63.28339,46.5006,63.28339,
63.35132,46.39573,63.35132,
63.47326,46.25733,63.47326,
63.60513,45.86314,63.60513,
63.71191,45.33633,63.71191,
63.74477,45.19831,63.74477,
63.74602,44.96376,63.74602,
63.72784,44.74409,63.72784,
63.61806,44.55369,63.61806,
63.47601,44.35106,63.47601,
63.33019,44.12723,63.33019,
63.21203,43.883,63.21203,
63.09938,43.61412,63.09938,
62.92757,43.37475,62.92757,
62.72163,43.15463,62.72163,
62.50464,42.93073,62.50464,
62.25241,42.72547,62.25241,
61.99264,42.5043,61.99264,
61.76864,42.23933,61.76864,
61.56072,41.95322,61.56072,
61.41953,41.60754,61.41953,
61.30033,41.22859,61.30033,
61.21118,40.83149,61.21118,
61.1298,40.43013,61.1298,
61.07121,40.01519,61.07121,
61.09106,39.53995,61.09106,
61.1563,39.02042,61.1563,
61.24709,38.44032,61.24709,
61.39374,37.81276,61.39374,
61.55696,37.16474,61.55696,
61.71024,36.53842,61.71024,
61.92229,35.88512,61.92229,
62.14426,35.2479,62.14426,
62.3816,34.60443,62.3816,
62.67292,33.92003,62.67292,
63.02256,33.1976,63.02256,
63.42097,32.45254,63.42097,
63.92616,31.65421,63.92616,
64.39312,30.93484,64.39312,
64.84435,30.26691,64.84435,
65.25628,29.6477,65.25628,
65.64691,29.07832,65.64691,
66.00137,28.57006,66.00137,
66.35261,28.09919,66.35261,
66.65616,27.70995,66.65616,
66.89314,27.42586,66.89314,
67.03979,27.26749,67.03979,
67.20075,27.14211,67.20075,
67.36523,27.06119,67.36523,
67.59528,26.97876,67.59528,
67.9001,26.88262,67.9001,
68.24689,26.80053,68.24689,
68.6349,26.72847,68.6349,
69.01241,26.71676,69.01241,
69.37506,26.77437,69.37506,
69.70417,26.90462,69.70417,
69.97472,27.1326,69.97472,
70.23126,27.42812,70.23126,
70.47793,27.73479,70.47793,
70.73164,28.04273,70.73164,
71.00376,28.35212,71.00376,
71.28619,28.65444,71.28619,
71.63016,28.90696,71.63016,
72.00498,29.16315,72.00498,
72.43812,29.38437,72.43812,
72.89803,29.61898,72.89803,
73.38196,29.8656,73.38196,
73.84097,30.11375,73.84097,
74.26266,30.42222,74.26266,
74.67448,30.77057,74.67448,
75.04728,31.12592,75.04728,
75.34772,31.54049,75.34772,
75.66708,31.97003,75.66708,
75.94423,32.38618,75.94423,
76.23576,32.79787,76.23576,
76.53705,33.21453,76.53705,
76.82877,33.60131,76.82877,
77.11703,34.0026,77.11703,
77.41398,34.40015,77.41398,
77.70406,34.77714,77.70406,
78.00584,35.13279,78.00584,
78.33768,35.48961,78.33768,
78.68323,35.82366,78.68323,
79.05342,36.16549,79.05342,
79.39622,36.53216,79.39622,
79.7171,36.92156,79.7171,
80.02662,37.33521,80.02662,
80.3242,37.77422,80.3242,
