chair to collider angle,table to collider angle,audience to collider angle,


98.33058,81.4488,98.33058,
98.33058,81.4488,98.33058,
40.10151,111.1912,98.30389,
2.594953,127.1342,67.88433,
4.296327,129.5876,66.8083,
5.009772,130.0094,66.63007,
5.33715,130.1654,66.52991,
6.247989,130.629,66.29933,
6.581298,130.7982,66.24672,
6.440529,130.7353,66.31975,
4.222435,129.1254,73.66931,
6.0391,128.5882,74.96281,
7.051045,128.3244,75.69981,
8.111789,128.0489,76.47106,
12.1018,126.8172,79.35565,
13.85273,126.3417,80.71841,
15.57994,125.9727,82.16241,
17.28894,125.5666,83.57852,
17.28972,125.6292,83.62391,
18.24813,125.4081,84.4229,
19.26117,125.1834,85.28771,
20.32983,124.9451,86.19552,
21.35482,124.636,87.02814,
22.31298,124.2899,87.77852,
23.22643,123.9091,88.47511,
24.09906,123.5598,89.15189,
24.99991,123.2014,89.84711,
25.90445,122.8338,90.54745,
26.78945,122.4641,91.22788,
27.61479,122.0843,91.84278,
28.3798,121.7129,92.41303,
29.10143,121.3829,92.96698,
29.85203,121.084,93.56161,
30.55134,120.829,94.15753,
31.24953,120.6017,94.76331,
31.93266,120.367,95.35012,
32.58442,120.1154,95.89541,
33.21407,119.8548,96.41528,
33.90496,119.5893,96.9965,
34.71134,119.3071,97.68176,
35.63171,119.0423,98.50151,
36.63618,118.7755,99.40659,
37.71928,118.5374,100.4094,
38.76438,118.2965,101.3735,
39.80026,118.0135,102.3077,
40.78999,117.706,103.1755,
41.76732,117.3952,104.0301,
42.78956,117.1163,104.9534,
43.82932,116.8299,105.8991,
44.84391,116.5255,106.8077,
45.73552,116.1823,107.565,
46.49062,115.7501,108.121,
47.1075,115.322,108.5342,
47.61376,114.8864,108.8305,
48.08432,114.5075,109.1163,
48.5406,114.1476,109.4006,
48.94782,113.814,109.6509,
49.30376,113.4541,109.8317,
49.63358,113.0968,109.9798,
49.90783,112.7673,110.096,
50.24007,112.4712,110.2878,
50.58107,112.2556,110.5398,
50.86053,111.8613,110.7256,
51.23463,111.6513,111.0293,
51.55205,111.4419,111.2604,
51.8295,111.2238,111.4565,
52.12109,111.0473,111.6784,
52.38908,110.909,111.916,
52.61413,110.8329,112.1365,
52.80217,110.7864,112.3329,
52.93398,110.7922,112.5171,
52.98349,110.8659,112.6539,
53.05587,110.9256,112.799,
53.05542,111.0767,112.944,
53.03784,111.2404,113.0731,
52.98635,111.4223,113.1702,
52.81116,111.6698,113.1872,
52.58558,111.9155,113.1455,
52.26191,112.2012,113.0251,
51.84407,112.5694,112.852,
51.3254,113.0001,112.6189,
50.63182,113.5259,112.2668,
49.77424,114.1431,111.7958,
48.68026,114.8893,111.1561,
47.55703,115.6536,110.4967,
46.37438,116.5275,109.8324,
45.18384,117.494,109.226,
44.02249,118.6001,108.7059,
42.94592,119.7088,108.2444,
41.8098,120.908,107.7723,
40.60692,122.1416,107.2202,
39.43986,123.3264,106.6575,
38.37802,124.4522,106.1542,
37.52515,125.5153,105.8033,
36.81346,126.5021,105.5189,
36.27396,127.3938,105.3422,
35.82902,128.1446,105.1892,
35.29744,128.8937,104.9363,
34.77291,129.5619,104.6454,
34.24274,130.1503,104.3039,
