pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.528291,4.248389,1.528291,0,4.507173,0,
1.528291,4.248389,1.528291,0,4.507173,0,
1.531412,2.389145,3.129886,0,2.320404,3.376877,
1.559137,2.307405,3.104043,1.220296,2.144485,2.880722,
1.561394,2.306341,3.103085,1.222536,2.144656,2.880964,
1.561619,2.306341,3.103436,1.224508,2.144731,2.881062,
1.561839,2.306658,3.103734,1.226776,2.145314,2.881174,
1.562113,2.306866,3.104333,1.228945,2.145585,2.881448,
1.562296,2.307448,3.105644,1.236123,2.146915,2.881767,
1.562053,2.307589,3.106004,1.236597,2.147648,2.882352,
1.562021,2.307719,3.110693,1.29125,2.19034,2.903239,
1.566377,2.31495,3.115982,1.291262,2.190864,2.903822,
1.566341,2.315121,3.116402,1.291525,2.191509,2.904807,
1.566143,2.315089,3.116533,1.291534,2.19208,2.905652,
1.565897,2.315077,3.116287,1.291339,2.192577,2.906387,
1.565071,2.314772,3.116959,1.289775,2.193535,2.908988,
1.564659,2.314461,3.117152,1.288886,2.193471,2.909651,
1.563417,2.313739,3.117409,1.287096,2.193442,2.910687,
1.56316,2.313481,3.117263,1.28663,2.192835,2.909953,
1.562411,2.31326,3.117833,1.285726,2.192739,2.910521,
1.561761,2.312768,3.117865,1.284726,2.192286,2.910717,
1.561212,2.312398,3.117624,1.283647,2.191857,2.910789,
1.560316,2.310941,3.11753,1.281358,2.189584,2.911194,
1.560059,2.310266,3.117883,1.279526,2.187508,2.911492,
1.560179,2.31048,3.117678,1.279424,2.18662,2.910513,
1.560034,2.310238,3.117763,1.278568,2.185281,2.910154,
1.5599,2.309742,3.1181,1.278088,2.183651,2.909669,
1.559796,2.309797,3.118102,1.277273,2.181628,2.908315,
1.55961,2.309711,3.118258,1.276707,2.179899,2.907274,
1.559492,2.309419,3.118877,1.274988,2.174999,2.90478,
1.559613,2.309097,3.119164,1.274484,2.170799,2.902137,
1.559775,2.308851,3.118733,1.273858,2.166909,2.899402,
1.55974,2.308902,3.119074,1.274235,2.166872,2.899543,
1.559689,2.308335,3.118631,1.274465,2.16273,2.896627,
1.559623,2.308207,3.119032,1.274786,2.160494,2.895316,
1.559131,2.307309,3.118835,1.275087,2.15365,2.891007,
1.559031,2.306686,3.119214,1.275606,2.148384,2.888146,
1.559179,2.306605,3.118979,1.275687,2.148119,2.887964,
1.559241,2.306566,3.119543,1.275518,2.145669,2.887109,
1.559426,2.305979,3.119442,1.275839,2.143539,2.886352,
1.559415,2.305641,3.119304,1.275953,2.141209,2.885118,
1.559384,2.305227,3.11967,1.276093,2.138983,2.884426,
1.559272,2.30496,3.119613,1.276157,2.136878,2.883495,
1.559125,2.304673,3.119457,1.27619,2.134772,2.882311,
1.558914,2.303387,3.119295,1.27659,2.128672,2.879889,
1.558986,2.301977,3.118497,1.276762,2.125167,2.878757,
1.55872,2.300405,3.117082,1.277426,2.122363,2.877942,
1.558428,2.300374,3.117428,1.277564,2.122643,2.878519,
1.558028,2.29988,3.116917,1.278059,2.121503,2.878184,
1.557564,2.299418,3.116352,1.278557,2.120246,2.877703,
