pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.577946,4.299216,1.577946,0,4.507173,0,
1.577946,4.299216,1.577946,0,4.507173,0,
1.578581,2.489046,2.888179,0,2.324382,2.908363,
1.542034,2.474101,2.879725,1.039959,2.640436,3.093318,
1.540081,2.467283,2.876292,1.039762,2.64046,3.093662,
1.540029,2.466599,2.876371,1.039753,2.640447,3.093994,
1.540024,2.465889,2.876358,1.039892,2.640207,3.094521,
1.539977,2.465305,2.87646,1.039954,2.640294,3.094401,
1.539692,2.463747,2.876893,1.040577,2.640526,3.095869,
1.53978,2.463865,2.876956,1.040391,2.640315,3.0958,
1.539782,2.463453,2.876705,1.040455,2.640334,3.09568,
1.539832,2.463464,2.881842,1.044916,2.643917,3.099973,
1.54862,2.463324,2.880797,1.045291,2.644172,3.100592,
1.548726,2.463486,2.881301,1.045426,2.644484,3.101054,
1.548738,2.463409,2.881768,1.045499,2.644573,3.101508,
1.548694,2.463365,2.882262,1.045777,2.644556,3.102153,
1.548496,2.463204,2.882487,1.045909,2.644715,3.102469,
1.548269,2.463124,2.882843,1.046001,2.644901,3.102657,
1.548011,2.46282,2.883122,1.046206,2.644595,3.10318,
1.547707,2.462474,2.883286,1.04622,2.644504,3.103381,
1.547442,2.46227,2.883543,1.046249,2.644542,3.103134,
1.54727,2.462043,2.883734,1.046407,2.644249,3.103609,
1.546988,2.461529,2.88387,1.046325,2.643912,3.103724,
1.546653,2.461343,2.88412,1.046117,2.643847,3.103527,
1.546237,2.461091,2.884353,1.046506,2.644099,3.104333,
1.545908,2.460892,2.88458,1.04624,2.644027,3.104553,
1.545511,2.460784,2.884918,1.046225,2.643995,3.104834,
1.545117,2.460689,2.885224,1.046461,2.643931,3.105399,
1.544767,2.460541,2.885328,1.046188,2.644068,3.105811,
1.544513,2.460302,2.885495,1.046139,2.643972,3.106064,
1.54421,2.460183,2.885735,1.046185,2.64372,3.106431,
1.544025,2.459999,2.885797,1.046154,2.643796,3.106596,
1.543824,2.459725,2.886031,1.045955,2.643728,3.107033,
1.543812,2.459362,2.885966,1.046079,2.643865,3.107653,
1.543774,2.458996,2.885989,1.046047,2.643798,3.107292,
1.543671,2.458641,2.885967,1.046011,2.643725,3.107442,
1.543657,2.45839,2.886063,1.046036,2.643538,3.107816,
1.54354,2.458054,2.886017,1.045893,2.643507,3.108155,
1.543478,2.457754,2.886189,1.045807,2.643486,3.108552,
1.543391,2.457445,2.886325,1.045834,2.643024,3.108941,
1.543296,2.457095,2.886319,1.045704,2.642912,3.109259,
1.543256,2.456761,2.886434,1.045673,2.642823,3.109566,
1.543266,2.456344,2.886428,1.045838,2.642811,3.110139,
1.543169,2.455908,2.886259,1.045842,2.642743,3.110212,
1.543209,2.455514,2.886239,1.045911,2.642743,3.110541,
1.543243,2.455293,2.886209,1.046116,2.642477,3.111055,
1.543309,2.454948,2.886228,1.046162,2.642447,3.110992,
1.543356,2.454617,2.8863,1.046213,2.642344,3.111236,
1.543433,2.454257,2.886287,1.046634,2.642604,3.11196,
1.54347,2.454026,2.886234,1.046638,2.64272,3.112092,
