pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.511711,3.942503,1.511711,0,4.507173,0,
1.511711,3.942503,1.511711,0,4.507173,0,
1.341971,2.155381,1.511122,0.9706476,2.325179,0,
1.37107,2.188769,1.55217,0.9559537,2.205419,0.8662755,
1.38062,2.174032,1.554362,0.9589106,2.201036,0.865918,
1.381362,2.173108,1.554767,0.9617189,2.196493,0.8651176,
1.38186,2.171394,1.555027,0.9648653,2.191406,0.8646387,
1.382713,2.170288,1.555245,0.9674003,2.186947,0.8641267,
1.383479,2.169192,1.555564,0.9699696,2.182232,0.8631703,
1.384033,2.168369,1.555912,0.9722392,2.178086,0.8619369,
1.385102,2.167275,1.556241,0.974496,2.173626,0.8605229,
1.385825,2.166338,1.556488,0.9764805,2.169413,0.8590778,
1.386595,2.165328,1.556758,0.9590763,2.132661,0.8160048,
1.396704,2.145651,1.557469,0.9520387,2.136334,0.8105904,
1.397467,2.144844,1.557572,0.9481703,2.138519,0.8078468,
1.397724,2.144104,1.55743,0.9445175,2.140623,0.8051494,
1.397455,2.143573,1.55742,0.9399844,2.143666,0.8023421,
1.398043,2.142954,1.557494,0.9359148,2.146407,0.7994282,
1.398251,2.142372,1.557426,0.93181,2.14912,0.7967107,
1.398456,2.141902,1.557457,0.927362,2.15267,0.7940108,
1.399097,2.141488,1.557592,0.9229103,2.155859,0.7912605,
1.399335,2.141138,1.557724,0.918593,2.159004,0.7886484,
1.399325,2.140707,1.557823,0.9140444,2.162731,0.7861065,
1.399339,2.140732,1.557856,0.9089868,2.166801,0.7835875,
1.399396,2.140402,1.558009,0.9045192,2.170291,0.7812375,
1.399304,2.139928,1.558012,0.9001086,2.174091,0.7789799,
1.399485,2.139596,1.55798,0.8953428,2.178001,0.7767912,
1.399306,2.13942,1.557954,0.891297,2.181755,0.7750015,
1.399365,2.139277,1.557997,0.8870293,2.185568,0.7730937,
1.399328,2.139398,1.55792,0.8831698,2.189352,0.7713477,
1.398979,2.139029,1.5578,0.8793732,2.192863,0.7698168,
1.398826,2.138987,1.557659,0.8756279,2.196608,0.7683012,
1.399048,2.138931,1.557617,0.8719639,2.200237,0.7668233,
1.399024,2.138975,1.557628,0.8685845,2.203835,0.765467,
1.398666,2.138776,1.557462,0.8653451,2.207293,0.7643069,
1.398916,2.138664,1.55748,0.861679,2.211026,0.7631497,
1.399017,2.138523,1.557395,0.8590168,2.214058,0.7621592,
1.399036,2.138449,1.557527,0.8567543,2.217001,0.7614414,
1.39935,2.138317,1.557621,0.8541918,2.219913,0.7605639,
1.399358,2.138227,1.557649,0.8523554,2.222377,0.7597791,
1.3995,2.138067,1.557582,0.8510477,2.224494,0.7591832,
1.399813,2.137859,1.557496,0.8493541,2.226805,0.7585289,
1.399699,2.137716,1.55725,0.8491536,2.228041,0.758374,
1.399181,2.137272,1.556697,0.8486336,2.229546,0.7582854,
1.399158,2.137166,1.556196,0.8470793,2.231657,0.7579828,
1.398533,2.136506,1.555313,0.8470132,2.233001,0.7584248,
1.39813,2.136159,1.554505,0.8468376,2.234331,0.7588052,
1.397715,2.135598,1.553318,0.8477619,2.23478,0.7598087,
