pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.674866,3.968781,1.674866,0,4.507173,0,
1.674866,3.968781,1.674866,0,4.507173,0,
1.674741,2.55244,2.722442,0,2.354722,3.189332,
1.680501,2.585715,2.729396,1.115837,2.7145,2.669357,
1.680002,2.585753,2.730694,1.114977,2.715136,2.670965,
1.679944,2.5859,2.731104,1.113895,2.716022,2.6733,
1.679874,2.585927,2.731063,1.113259,2.716669,2.674762,
1.679799,2.58599,2.730907,1.112744,2.717471,2.675916,
1.679619,2.586056,2.731399,1.11202,2.718085,2.677592,
1.679491,2.586035,2.731438,1.111442,2.718727,2.678769,
1.679594,2.586104,2.731256,1.111,2.719248,2.67989,
1.679446,2.586073,2.731345,1.110437,2.719766,2.681046,
1.679351,2.585948,2.730567,1.104351,2.719038,2.688874,
1.677132,2.584472,2.735009,1.104384,2.718545,2.688719,
1.676945,2.584289,2.734958,1.104414,2.718032,2.688089,
1.676684,2.584055,2.735574,1.104726,2.717417,2.687427,
1.676067,2.583458,2.735394,1.105338,2.715625,2.684892,
1.675524,2.582784,2.735835,1.106242,2.714025,2.682743,
1.675489,2.582781,2.735645,1.106451,2.713754,2.68247,
1.675176,2.582427,2.736151,1.107662,2.712944,2.681081,
1.674956,2.582096,2.735998,1.109437,2.712044,2.678767,
1.674778,2.581781,2.7357,1.111757,2.711102,2.675769,
1.674561,2.581437,2.736202,1.11393,2.710175,2.673328,
1.67433,2.581038,2.735981,1.116216,2.708689,2.67006,
1.674197,2.580677,2.735538,1.118803,2.707021,2.66611,
1.673948,2.58022,2.736181,1.121601,2.705161,2.662214,
1.673679,2.579713,2.735867,1.123708,2.703135,2.658642,
1.673444,2.579208,2.735422,1.126197,2.7007,2.654039,
1.673212,2.578791,2.735746,1.128792,2.698001,2.64936,
1.672984,2.578285,2.735366,1.131889,2.695702,2.644157,
1.67292,2.577741,2.734831,1.134191,2.692854,2.639246,
1.672703,2.57722,2.735158,1.136726,2.690281,2.634824,
1.672417,2.576644,2.734896,1.13982,2.687511,2.629213,
1.672206,2.576107,2.734594,1.142182,2.684875,2.624509,
1.671935,2.57578,2.735156,1.14448,2.68243,2.62036,
1.671651,2.575181,2.735056,1.147542,2.67983,2.615185,
1.671498,2.574826,2.735014,1.14982,2.677147,2.610731,
1.671303,2.574183,2.735579,1.15161,2.674843,2.607562,
1.671076,2.573572,2.735371,1.154,2.672364,2.603294,
1.67084,2.572921,2.735092,1.155939,2.669986,2.599479,
1.670526,2.572335,2.73582,1.158078,2.667531,2.596059,
1.670178,2.5716,2.735758,1.160055,2.665337,2.59253,
1.669859,2.570883,2.735931,1.161644,2.662966,2.589556,
1.669387,2.569969,2.736844,1.163047,2.660643,2.58728,
1.668828,2.569144,2.736645,1.164202,2.658411,2.584802,
1.668146,2.568316,2.736408,1.165497,2.656256,2.582299,
1.66738,2.567574,2.736861,1.166418,2.654445,2.581042,
1.666516,2.566746,2.736362,1.167202,2.652483,2.579342,
1.665492,2.566029,2.735682,1.167988,2.650584,2.5776,
1.664345,2.56542,2.735438,1.16897,2.649069,2.576365,
