pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


2.265092,5.627595,2.265092,0,4.507173,0,
2.265092,5.627595,2.265092,0,4.507173,0,
2.26618,5.627851,2.26618,0,4.507173,0,
2.261992,5.614463,2.261992,1.864441,5.464951,1.864441,
2.260449,5.612787,2.260449,1.86386,5.464439,1.86386,
2.260091,5.612331,2.260091,1.863619,5.464048,1.863619,
2.259878,5.61209,2.259878,1.863534,5.463902,1.863534,
2.259499,5.611687,2.259499,1.863031,5.463184,1.863031,
2.259195,5.611233,2.259195,1.862329,5.462514,1.862329,
2.259136,5.611182,2.259136,1.861411,5.461418,1.861411,
2.25911,5.61101,2.25911,1.862049,5.452342,1.862049,
2.259899,5.610933,2.259899,1.861651,5.451453,1.861651,
2.260161,5.611122,2.260161,1.861406,5.450866,1.861406,
2.260414,5.611313,2.260414,1.861642,5.45081,1.861642,
2.260669,5.611527,2.260669,1.861335,5.450246,1.861335,
2.260985,5.611719,2.260985,1.860907,5.449672,1.860907,
2.261211,5.611879,2.261211,1.86037,5.44899,1.86037,
2.261473,5.612131,2.261473,1.85921,5.447176,1.85921,
2.261709,5.612299,2.261709,1.858787,5.446617,1.858787,
2.262038,5.612579,2.262038,1.85824,5.446074,1.85824,
2.262261,5.612789,2.262261,1.857407,5.444899,1.857407,
2.262644,5.613073,2.262644,1.856967,5.444402,1.856967,
2.263176,5.613461,2.263176,1.856069,5.443524,1.856069,
2.263675,5.613805,2.263675,1.855877,5.443568,1.855877,
2.2642,5.614185,2.2642,1.855486,5.443129,1.855486,
2.264747,5.614534,2.264747,1.855531,5.443198,1.855531,
2.265245,5.61486,2.265245,1.855567,5.443285,1.855567,
2.265917,5.615266,2.265917,1.855394,5.442961,1.855394,
2.266603,5.615689,2.266603,1.854993,5.442398,1.854993,
2.267151,5.615948,2.267151,1.85555,5.443158,1.85555,
2.267962,5.616454,2.267962,1.855509,5.442846,1.855509,
2.268818,5.61689,2.268818,1.855567,5.442613,1.855567,
2.269843,5.617444,2.269843,1.856406,5.443396,1.856406,
2.270727,5.617926,2.270727,1.856618,5.443233,1.856618,
2.271577,5.618401,2.271577,1.857591,5.443828,1.857591,
2.272355,5.618901,2.272355,1.857843,5.443316,1.857843,
2.273262,5.619569,2.273262,1.858342,5.443282,1.858342,
2.274108,5.620136,2.274108,1.858842,5.443275,1.858842,
2.274952,5.620739,2.274952,1.859944,5.444293,1.859944,
2.27577,5.621287,2.27577,1.860478,5.444378,1.860478,
2.276591,5.62185,2.276591,1.860877,5.44435,1.860877,
2.277566,5.622548,2.277566,1.86186,5.445304,1.86186,
2.278358,5.623078,2.278358,1.86218,5.445281,1.86218,
2.279238,5.623783,2.279238,1.862806,5.445678,1.862806,
2.279969,5.624384,2.279969,1.863828,5.447053,1.863828,
2.280625,5.624916,2.280625,1.864084,5.44709,1.864084,
2.281341,5.625532,2.281341,1.864363,5.447176,1.864363,
2.281846,5.626009,2.281846,1.865192,5.448266,1.865192,
2.282398,5.626521,2.282398,1.865036,5.447898,1.865036,
2.282874,5.62702,2.282874,1.865398,5.448059,1.865398,
