chair to collider angle,table to collider angle,audience to collider angle,


59.61184,24.9723,59.61184,
59.61184,24.9723,59.61184,
60.03575,24.84255,60.03575,
46.47761,18.83644,46.47761,
46.03219,18.40904,46.03219,
45.88455,18.09878,45.88455,
45.79183,17.92521,45.79183,
45.51161,17.43802,45.51161,
45.29778,17.06484,45.29778,
45.31943,17.00743,45.31943,
45.28389,16.77524,45.28389,
45.83661,14.42149,45.83661,
45.97699,14.48488,45.97699,
46.143,14.56879,46.143,
46.3063,14.6611,46.3063,
46.46003,14.78333,46.46003,
46.60104,14.91534,46.60104,
46.75518,15.05547,46.75518,
46.91108,15.20304,46.91108,
47.09662,15.3512,47.09662,
47.31283,15.51982,47.31283,
47.57196,15.68369,47.57196,
47.86566,15.8204,47.86566,
48.17854,15.93816,48.17854,
48.48752,16.05017,48.48752,
48.81055,16.16083,48.81055,
49.13258,16.26189,49.13258,
49.46563,16.36845,49.46563,
49.84295,16.47615,49.84295,
50.25544,16.58866,50.25544,
50.77407,16.72843,50.77407,
51.32452,16.90305,51.32452,
51.90911,17.10173,51.90911,
52.48903,17.35399,52.48903,
53.08648,17.64934,53.08648,
53.64637,17.94955,53.64637,
54.20127,18.28219,54.20127,
54.73261,18.61316,54.73261,
55.26995,18.94431,55.26995,
55.80768,19.3057,55.80768,
56.33995,19.67892,56.33995,
56.83958,20.02921,56.83958,
57.35333,20.41808,57.35333,
57.79647,20.78398,57.79647,
58.25226,21.15233,58.25226,
58.67689,21.51749,58.67689,
59.06848,21.87389,59.06848,
59.43434,22.20661,59.43434,
59.78048,22.53112,59.78048,
60.10344,22.84112,60.10344,
60.42256,23.14546,60.42256,
60.72311,23.43011,60.72311,
60.97875,23.69415,60.97875,
61.1906,23.92295,61.1906,
61.37691,24.14123,61.37691,
61.49625,24.33055,61.49625,
61.5898,24.48017,61.5898,
61.64005,24.60727,61.64005,
61.64574,24.70133,61.64574,
61.61651,24.77053,61.61651,
61.55983,24.79452,61.55983,
61.51937,24.81214,61.51937,
61.46515,24.80738,61.46515,
61.41253,24.77712,61.41253,
61.33484,24.73652,61.33484,
61.23494,24.65287,61.23494,
61.1459,24.57004,61.1459,
61.04565,24.45202,61.04565,
60.9843,24.35893,60.9843,
60.95626,24.26488,60.95626,
60.94156,24.16877,60.94156,
60.91909,24.07396,60.91909,
60.86674,23.96506,60.86674,
60.78399,23.84745,60.78399,
60.66784,23.69077,60.66784,
60.5205,23.52563,60.5205,
60.34525,23.33706,60.34525,
60.15852,23.14869,60.15852,
59.91721,22.91134,59.91721,
59.63599,22.68747,59.63599,
59.33431,22.43288,59.33431,
58.95471,22.11767,58.95471,
58.48011,21.73951,58.48011,
57.91613,21.28966,57.91613,
57.23805,20.74773,57.23805,
56.44158,20.13286,56.44158,
55.44176,19.37491,55.44176,
54.2974,18.5249,54.2974,
52.83384,17.48305,52.83384,
51.22633,16.46514,51.22633,
49.51632,15.52773,49.51632,
47.56434,14.72782,47.56434,
45.61794,14.21201,45.61794,
43.49194,14.01604,43.49194,
41.52502,14.08975,41.52502,
39.67221,14.3827,39.67221,
38.00126,14.74963,38.00126,
36.561,15.15755,36.561,
35.40747,15.51405,35.40747,
