pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


2.118623,5.352646,2.118623,0,4.507173,0,
2.118623,5.352646,2.118623,0,4.507173,0,
1.302934,2.534779,3.692733,2.175738,2.734171,2.952616,
1.33907,2.422567,3.601754,0.8993751,2.50921,3.618739,
1.355263,2.390091,3.589793,0.9080407,2.49723,3.605563,
1.362132,2.378898,3.583857,0.9114953,2.492029,3.600233,
1.363506,2.375663,3.580761,0.914301,2.486918,3.595048,
1.368795,2.365679,3.571154,0.9259253,2.47075,3.5768,
1.371027,2.360587,3.562381,0.933724,2.457865,3.562214,
1.370934,2.361132,3.505615,1.013687,2.346375,3.421178,
1.407053,2.31495,3.454201,1.015728,2.341403,3.415603,
1.408846,2.312728,3.446727,1.021744,2.334776,3.405254,
1.410505,2.310608,3.439125,1.026367,2.32865,3.396135,
1.412262,2.308503,3.431174,1.030956,2.32264,3.386913,
1.414216,2.306626,3.423099,1.057405,2.315273,3.353621,
1.415827,2.304581,3.414137,1.052236,2.305225,3.354565,
1.417418,2.302718,3.405531,1.055817,2.300605,3.345468,
1.418848,2.300777,3.395915,1.06169,2.294157,3.333434,
1.420552,2.298975,3.385927,1.066629,2.288935,3.321872,
1.422368,2.297391,3.376606,1.072298,2.283433,3.310255,
1.423705,2.295969,3.365966,1.077664,2.278062,3.297381,
1.425047,2.294499,3.355815,1.083226,2.273196,3.284729,
1.426319,2.293472,3.345603,1.089111,2.268133,3.271763,
1.427812,2.292693,3.334989,1.094609,2.264108,3.258531,
1.428975,2.291923,3.324361,1.099904,2.260056,3.245407,
1.430469,2.291049,3.313385,1.105379,2.255569,3.231751,
1.431685,2.290423,3.302633,1.110697,2.251727,3.21816,
1.43304,2.289799,3.291714,1.115664,2.248006,3.204705,
1.435052,2.289008,3.2808,1.121316,2.243494,3.191048,
1.437504,2.288361,3.269625,1.126847,2.239447,3.177169,
1.439262,2.287652,3.258675,1.132227,2.235575,3.163516,
1.441325,2.286941,3.247726,1.137954,2.23097,3.149532,
1.443938,2.286466,3.23633,1.143303,2.227296,3.135689,
1.446099,2.285701,3.225042,1.148751,2.223314,3.121636,
1.448296,2.285229,3.214439,1.154131,2.219258,3.108266,
1.450572,2.284622,3.202852,1.159103,2.215668,3.0945,
1.452473,2.284119,3.19172,1.164392,2.211816,3.080649,
1.454536,2.283467,3.180559,1.169785,2.20759,3.066842,
1.456279,2.283033,3.169626,1.174824,2.203546,3.053428,
1.45821,2.282517,3.157916,1.1789,2.200435,3.040407,
1.4603,2.282023,3.147296,1.18372,2.19668,3.027735,
1.46166,2.281199,3.135408,1.188758,2.192223,3.013677,
1.463465,2.280766,3.123768,1.193775,2.188302,2.999905,
1.46562,2.280406,3.112768,1.198891,2.184171,2.986892,
1.467618,2.279891,3.100204,1.203636,2.180479,2.972989,
1.469346,2.279717,3.088431,1.207929,2.177289,2.959777,
1.471376,2.279901,3.077372,1.212306,2.174207,2.947547,
1.472968,2.279727,3.065213,1.216137,2.171494,2.934571,
1.474212,2.279933,3.05371,1.219532,2.168916,2.922255,
1.47567,2.280126,3.043212,1.222737,2.166608,2.911104,
