user x,user y,table x,table y,chair x,chair y,audience x,audience y,


1.420569,1.484174,-3.876983,2.05678,0,0,0,0,
1.420569,1.484174,-3.876983,2.05678,0,0,0,0,
1.420571,1.484109,1.806015,0.7967579,1.672495,0.4786301,-0.2324114,1.037642,
1.443781,1.449036,1.805979,0.7965758,1.672505,0.4787886,-0.2639711,1.039275,
1.478205,1.451131,1.806073,0.7968342,1.672245,0.4785354,-0.2717156,1.040367,
1.487561,1.452215,1.806059,0.7968144,1.672328,0.4784834,-0.2739155,1.040599,
1.490275,1.452078,1.806,0.7966471,1.672437,0.4787688,-0.2759008,1.041101,
1.497868,1.451659,1.805982,0.796592,1.672427,0.4786704,-0.2819579,1.041849,
1.500475,1.450698,1.805971,0.7965031,1.672482,0.4787199,-0.2842019,1.042419,
1.499944,1.451173,1.805999,0.7966881,1.672666,0.4788277,-0.281354,1.030928,
1.489682,1.450754,1.806059,0.7967508,1.672569,0.4787464,-0.280071,1.029977,
1.487938,1.450549,1.805985,0.7966309,1.672678,0.4789293,-0.2782919,1.02934,
1.486104,1.450127,1.806045,0.7966521,1.672654,0.4789407,-0.2769914,1.028534,
1.484031,1.449754,1.806029,0.7966459,1.672649,0.4789474,-0.274682,1.027658,
1.481926,1.449601,1.806071,0.7966685,1.672515,0.4786825,-0.2721934,1.027461,
1.479743,1.44929,1.805765,0.7969065,1.672171,0.4788733,-0.2694879,1.027181,
1.477308,1.449188,1.805723,0.7969356,1.672275,0.4790184,-0.2668948,1.026757,
1.474759,1.449099,1.805876,0.7973168,1.672495,0.4795368,-0.2633088,1.027066,
1.472279,1.448665,1.806155,0.7971609,1.672792,0.4794211,-0.2596459,1.026431,
1.46965,1.448548,1.806141,0.7971749,1.672769,0.4794385,-0.2564993,1.02625,
1.466899,1.448391,1.806152,0.7972796,1.672866,0.4796252,-0.2524276,1.026684,
1.464114,1.447884,1.806175,0.797359,1.672971,0.4796455,-0.2483494,1.026227,
1.461085,1.447444,1.806242,0.7972889,1.672972,0.4796851,-0.2444811,1.026302,
1.458089,1.447102,1.806104,0.7970645,1.672786,0.4792583,-0.2403562,1.026549,
1.454811,1.446772,1.806194,0.7970214,1.672798,0.4792562,-0.2362895,1.026587,
1.451708,1.446777,1.806193,0.7970119,1.67281,0.4792714,-0.2317364,1.026202,
1.448681,1.446933,1.806191,0.7970445,1.672869,0.4794085,-0.2274892,1.026559,
1.445678,1.447018,1.806242,0.7970395,1.672904,0.4794323,-0.222991,1.02623,
1.442609,1.44752,1.806233,0.7970352,1.672874,0.4793906,-0.21912,1.026299,
1.439761,1.448246,1.80611,0.7968082,1.672603,0.4788704,-0.2150226,1.026661,
1.436779,1.448605,1.806113,0.7967982,1.672637,0.4789119,-0.2113659,1.026781,
1.43371,1.44928,1.806058,0.7967966,1.672654,0.4788618,-0.207598,1.026655,
1.430789,1.450277,1.805909,0.7964489,1.672557,0.4785912,-0.2041316,1.027012,
1.427738,1.451028,1.805903,0.7964215,1.672539,0.4786031,-0.2005997,1.026878,
1.424748,1.451918,1.805844,0.7963455,1.672538,0.4785295,-0.1974664,1.027013,
