pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.959071,5.369548,1.959071,0,4.507173,0,
1.959071,5.369548,1.959071,0,4.507173,0,
2.134183,1.598464,3.328739,2.176169,2.735331,2.64578,
2.211008,1.535512,3.238977,2.090185,1.564545,2.976943,
2.218534,1.530452,3.223599,2.089727,1.568168,2.963111,
2.220746,1.528328,3.216811,2.089272,1.567366,2.958517,
2.221648,1.527115,3.211385,2.08889,1.568524,2.952499,
2.224472,1.523893,3.193329,2.08787,1.571116,2.93234,
2.22624,1.521634,3.180691,2.08584,1.575487,2.91823,
2.226316,1.521533,3.099314,2.069321,1.608992,2.810961,
2.22462,1.530133,3.073271,2.068332,1.611587,2.805178,
2.223891,1.532032,3.069236,2.067003,1.613964,2.801253,
2.222975,1.534088,3.064553,2.065206,1.617113,2.796604,
2.222004,1.536098,3.059809,2.064179,1.61961,2.791801,
2.220848,1.538473,3.055127,2.062367,1.621371,2.788756,
2.219557,1.540714,3.050638,2.061442,1.623684,2.784317,
2.218093,1.543203,3.046535,2.060262,1.627178,2.779456,
2.216854,1.545525,3.042241,2.059121,1.628336,2.776731,
2.215855,1.547852,3.037844,2.058859,1.630399,2.772236,
2.21459,1.550519,3.033902,2.058445,1.63316,2.767568,
2.213112,1.553487,3.029689,2.057477,1.635133,2.763996,
2.211682,1.556409,3.025879,2.056713,1.637815,2.760052,
2.210395,1.559581,3.022239,2.056267,1.640156,2.756393,
2.20907,1.562874,3.018446,2.056155,1.642713,2.752025,
2.207872,1.566316,3.014514,2.056245,1.644842,2.748124,
2.20668,1.570039,3.011358,2.056041,1.647121,2.745268,
2.205336,1.574109,3.005459,2.056244,1.649927,2.739059,
2.203905,1.578114,3.001847,2.056007,1.6521,2.736094,
2.202429,1.582512,2.999134,2.056279,1.654844,2.733213,
2.200767,1.586769,2.995022,2.056131,1.656528,2.730401,
2.199079,1.591277,2.991738,2.056238,1.659115,2.727516,
2.197121,1.595648,2.988843,2.055976,1.660913,2.725744,
2.19508,1.6004,2.98489,2.055376,1.662544,2.723613,
2.193233,1.605054,2.98157,2.055854,1.664384,2.721074,
2.191342,1.609912,2.979115,2.055465,1.666347,2.719956,
2.189289,1.614478,2.975841,2.054969,1.668411,2.717762,
2.187225,1.619127,2.972864,2.054433,1.670591,2.716056,
2.185378,1.623695,2.971003,2.054585,1.673064,2.714262,
2.183395,1.628064,2.968066,2.053896,1.67554,2.712178,
2.181379,1.632373,2.965764,2.053096,1.678307,2.710424,
2.179346,1.636512,2.964058,2.052149,1.681096,2.709362,
2.177382,1.640533,2.960842,2.051219,1.68353,2.707198,
2.175589,1.644317,2.958754,2.050599,1.686206,2.705544,
2.173781,1.648094,2.957681,2.049276,1.688909,2.705436,
2.171873,1.651884,2.955489,2.047857,1.691432,2.704412,
2.170286,1.655205,2.953726,2.046851,1.694287,2.703068,
2.168284,1.658639,2.951857,2.045397,1.69725,2.701677,
2.166249,1.662185,2.94924,2.043885,1.700451,2.699426,
2.164489,1.6654,2.947574,2.042187,1.704111,2.698177,
2.162076,1.668543,2.946874,2.039859,1.707535,2.697926,
