user x,user y,table x,table y,chair x,chair y,audience x,audience y,


0.03558726,1.427848,-3.876983,2.05678,0,0,0,0,
0.03558726,1.427848,-3.876983,2.05678,0,0,0,0,
0.03324391,1.427911,1.95846,0.816999,-0.391963,1.030196,-2.39463,1.073057,
0.1120626,1.409651,1.958338,0.8167689,-0.2695096,1.053795,-2.408637,1.089009,
0.1206599,1.414262,1.958389,0.8169711,-0.2398174,1.056138,-2.408718,1.093719,
0.12508,1.414881,1.958465,0.8169541,-0.2295005,1.056564,-2.40784,1.095633,
0.1267818,1.414913,1.958536,0.8170388,-0.2179697,1.055906,-2.409935,1.096716,
0.1317132,1.415246,1.958593,0.8169484,-0.1856914,1.053319,-2.410699,1.101976,
0.1355765,1.415455,1.95848,0.8168364,-0.1611297,1.050368,-2.40948,1.10605,
0.1358794,1.415647,1.958345,0.8167217,0.03123617,0.9919703,-2.37645,1.133953,
0.1758318,1.420067,1.958509,0.8173172,0.06013751,0.9855093,-2.370709,1.135036,
0.1782757,1.420024,1.958582,0.8172863,0.07422948,0.9824415,-2.368119,1.135386,
0.1807418,1.420001,1.95853,0.817142,0.08893394,0.9804751,-2.363039,1.136079,
0.1832172,1.41994,1.95848,0.8171146,0.1035869,0.9786015,-2.35808,1.136514,
0.1856238,1.419913,1.958481,0.817095,0.1185565,0.977154,-2.352602,1.137174,
0.1879751,1.419853,1.958416,0.8169396,0.1333652,0.9754139,-2.346088,1.137893,
0.1902383,1.419763,1.95843,0.8168538,0.1484332,0.9737394,-2.340692,1.138415,
0.1924669,1.419705,1.958424,0.8168309,0.1637766,0.9720334,-2.334025,1.139389,
0.194636,1.419611,1.958599,0.8172183,0.1789596,0.97018,-2.326955,1.140606,
0.196781,1.419573,1.958582,0.8172004,0.1946113,0.9685899,-2.318698,1.142378,
0.1988488,1.419534,1.958567,0.8171844,0.2102458,0.9670637,-2.312947,1.143518,
0.2008117,1.419634,1.958695,0.8174953,0.2260165,0.9660242,-2.305703,1.145233,
0.2025929,1.420043,1.958633,0.8174884,0.2420268,0.9649831,-2.296942,1.147307,
0.2044039,1.420517,1.958691,0.8174295,0.2582018,0.9646682,-2.290782,1.148867,
0.2059982,1.420894,1.958503,0.8170519,0.2741296,0.9638482,-2.282889,1.150883,
0.2076994,1.421533,1.958547,0.8170221,0.2904022,0.9632502,-2.274381,1.153103,
0.2092545,1.422054,1.958591,0.8170345,0.3068204,0.9627472,-2.26673,1.15492,
0.2140979,1.423939,1.958504,0.8169932,0.3565392,0.9608687,-2.241834,1.16101,
0.2167557,1.425035,1.958495,0.8169296,0.3913112,0.959008,-2.223063,1.165099,
0.2192147,1.425946,1.958387,0.8169768,0.4275687,0.9562495,-2.208156,1.167564,
0.218969,1.425783,1.958373,0.8169398,0.4280243,0.9552903,-2.208253,1.167262,
0.2200074,1.42625,1.958376,0.8169158,0.4452984,0.9529899,-2.200008,1.168581,
0.2212331,1.426509,1.95841,0.8169222,0.4628088,0.9509878,-2.193941,1.169091,
0.2224422,1.426665,1.95853,0.8172584,0.4796407,0.9497703,-2.186841,1.169812,
0.223664,1.42668,1.958618,0.8172243,0.4964378,0.9487971,-2.178926,1.170658,
