chair to collider angle,table to collider angle,audience to collider angle,


82.79082,107.909,82.79082,
82.79082,107.909,82.79082,
114.4265,53.01287,37.55985,
38.737,41.76641,127.6584,
38.58329,46.32951,131.1976,
39.12904,47.04937,131.6331,
39.50291,47.37032,131.812,
40.64505,48.44545,132.4169,
41.57567,49.07226,132.6918,
41.62154,49.01159,132.9364,
39.43237,51.94683,135.6095,
38.90911,51.57993,135.422,
38.40303,51.13758,135.1443,
37.96568,50.63158,134.7912,
37.60678,50.05347,134.3458,
37.29662,49.44455,133.8592,
37.08109,48.75209,133.2767,
36.95744,48.0061,132.6229,
36.91504,47.21317,131.9143,
36.91813,46.40924,131.1887,
37.04485,45.51525,130.3579,
37.20882,44.61285,129.5096,
37.51674,43.62009,128.5574,
37.94161,42.63043,127.6106,
38.38451,41.64209,126.6582,
38.81669,40.58453,125.6291,
39.3573,39.44596,124.4234,
39.88079,38.3572,123.3791,
40.51476,37.13498,122.1648,
41.17178,35.9824,121.0326,
41.89629,34.80003,119.8734,
42.59741,33.63873,118.7377,
43.33437,32.49417,117.5986,
44.04339,31.36356,116.4948,
44.72956,30.24849,115.4054,
45.43798,29.14931,114.3254,
46.12919,28.12965,113.334,
46.7858,27.10489,112.326,
47.42672,26.14626,111.378,
48.05508,25.20285,110.4616,
48.64081,24.34239,109.6315,
49.19949,23.51614,108.8098,
49.70367,22.75641,108.0789,
50.17852,22.05272,107.4002,
50.6142,21.37172,106.7455,
50.97673,20.75922,106.1727,
51.30179,20.19067,105.6486,
51.60806,19.63204,105.1348,
51.86516,19.13956,104.6934,
52.138,18.65531,104.2497,
52.4043,18.20421,103.8367,
52.64202,17.78684,103.4637,
52.89223,17.3638,103.0788,
53.12184,16.97873,102.7363,
53.36465,16.59133,102.417,
53.59486,16.23217,102.0648,
53.81003,15.87345,101.7443,
54.01554,15.51449,101.4706,
54.20137,15.16133,101.1,
54.37587,14.79139,100.7808,
54.55206,14.43114,100.4694,
54.68751,14.09588,100.1966,
54.81945,13.76144,99.92249,
54.94101,13.437,99.6572,
55.00652,13.16854,99.43331,
55.0573,12.90925,99.23588,
55.05211,12.72937,99.11412,
54.99948,12.61296,99.05545,
54.93892,12.51274,99.00595,
54.81215,12.4582,99.06626,
54.65915,12.44595,99.08971,
54.47334,12.45151,99.14765,
54.27058,12.45161,99.25136,
54.03957,12.46268,99.30361,
53.77634,12.4762,99.36775,
53.50202,12.4883,99.44158,
53.23202,12.51251,99.20417,
52.95768,12.55435,99.25241,
52.71135,12.59164,99.28522,
52.45602,12.65694,99.2767,
52.2137,12.71032,99.30286,
51.96058,12.77241,99.31986,
51.71029,12.83098,99.30527,
51.47923,12.86818,99.25029,
51.27407,12.89787,99.17856,
51.08801,12.94886,99.1004,
50.89626,13.01716,99.03316,
50.73824,13.06844,98.94134,
50.57088,13.14579,98.92516,
50.43104,13.22033,98.86344,
50.27801,13.33024,98.85209,
50.15729,13.4365,98.96194,
50.02716,13.56879,99.05464,
49.88444,13.72971,99.2429,
49.73101,13.91471,99.4495,
49.56066,14.11665,99.63116,
49.34731,14.37622,99.89628,
49.08755,14.67088,100.181,
48.75795,15.04933,100.524,
