user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-0.04759436,1.406832,-3.876983,2.05678,0,0,0,0,
-0.04759436,1.406832,-3.876983,2.05678,0,0,0,0,
-0.04543381,1.407396,1.961112,0.8196287,1.490464,0.4663742,-1.53365,0.9411043,
-0.08002834,1.421352,1.960845,0.819732,1.49038,0.4665976,-1.566001,0.9475045,
-0.09086592,1.431282,1.960931,0.8196039,1.490597,0.4665067,-1.571958,0.9473995,
-0.09343052,1.433489,1.960931,0.8196192,1.490642,0.4665475,-1.574749,0.947226,
-0.09471311,1.434382,1.960915,0.819608,1.490699,0.4666231,-1.577064,0.9467908,
-0.09800187,1.437312,1.960955,0.8195634,1.49087,0.466639,-1.585294,0.9466565,
-0.1007843,1.438578,1.960977,0.8195956,1.490775,0.4667451,-1.591299,0.9479566,
-0.1003523,1.438511,1.961075,0.8196478,1.490581,0.4665864,-1.627603,0.9344658,
-0.1091109,1.431271,1.961122,0.8197172,1.490558,0.4665234,-1.630826,0.9344007,
-0.1090803,1.430369,1.961153,0.8197374,1.490563,0.4665353,-1.633783,0.9341661,
-0.1088976,1.429502,1.961129,0.8197718,1.490627,0.4665673,-1.636646,0.9337765,
-0.1086556,1.428638,1.96118,0.8198791,1.490587,0.4665313,-1.639565,0.9333944,
-0.1085333,1.427909,1.961201,0.8198864,1.490651,0.466588,-1.642337,0.9326627,
-0.1081622,1.427185,1.96121,0.8199039,1.490685,0.4666269,-1.645219,0.9321659,
-0.1076739,1.426533,1.96128,0.8200245,1.490684,0.4666276,-1.648116,0.9315701,
-0.1073367,1.425981,1.961257,0.8200359,1.490904,0.4669826,-1.650566,0.9309983,
-0.1067295,1.42538,1.961273,0.8200481,1.49095,0.4669735,-1.65331,0.930585,
-0.1061129,1.424794,1.961161,0.8197958,1.490928,0.4669869,-1.65628,0.9303675,
-0.1054289,1.424232,1.961123,0.8197734,1.490843,0.4667585,-1.658643,0.9298308,
-0.1052762,1.423529,1.961117,0.8197327,1.490842,0.4667525,-1.661114,0.9293652,
-0.1062058,1.422369,1.96117,0.8198516,1.490891,0.4667833,-1.663572,0.9291086,
-0.1056746,1.42202,1.961177,0.8198531,1.490859,0.4667416,-1.666118,0.9290322,
-0.1049909,1.421737,1.961161,0.8198647,1.490846,0.4667869,-1.668477,0.9287271,
-0.1066381,1.420314,1.961099,0.8197443,1.490843,0.4667614,-1.670859,0.9286505,
-0.10649,1.420026,1.961101,0.8197601,1.490751,0.466609,-1.669696,0.9244648,
-0.1056027,1.419884,1.961049,0.8197277,1.490709,0.4666514,-1.671899,0.9240774,
-0.1069719,1.418795,1.960994,0.8196306,1.490781,0.4666793,-1.673859,0.9232966,
-0.1070056,1.418583,1.960994,0.8196416,1.490666,0.4665294,-1.675889,0.9227771,
-0.1065202,1.418477,1.960981,0.8196375,1.490608,0.4665473,-1.677948,0.9222678,
-0.1075511,1.417669,1.960951,0.8196318,1.490587,0.4664776,-1.680472,0.9222842,
-0.107879,1.417681,1.960941,0.8196588,1.490583,0.466454,-1.682376,0.9219065,
-0.107636,1.417537,1.960934,0.8197398,1.490462,0.4665308,-1.684377,0.9215049,
