pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.863069,4.94597,1.863069,0,4.507173,0,
1.863069,4.94597,1.863069,0,4.507173,0,
2.907236,1.780467,3.247811,1.918446,2.753756,3.024364,
2.452352,2.279483,3.100713,2.159603,2.331699,3.054268,
2.443485,2.292552,3.09564,2.155507,2.336843,3.054509,
2.439618,2.297815,3.090493,2.154512,2.338264,3.052324,
2.439933,2.299373,3.092842,2.155129,2.338763,3.055626,
2.433064,2.305251,3.087903,2.150291,2.341551,3.052896,
2.428502,2.309062,3.083625,2.149867,2.34102,3.049528,
2.427451,2.31009,3.075172,2.150494,2.341238,3.015321,
2.393744,2.34211,3.060132,2.150331,2.342874,3.008874,
2.389338,2.344367,3.060541,2.146441,2.344931,3.006031,
2.387383,2.346347,3.058236,2.144471,2.347052,3.000505,
2.386972,2.348214,3.058639,2.144184,2.349204,2.997389,
2.381761,2.354388,3.052029,2.139487,2.35613,2.981662,
2.383795,2.353919,3.051356,2.141168,2.356397,2.98088,
2.380061,2.355532,3.052563,2.137491,2.358679,2.979093,
2.378608,2.357103,3.050202,2.136065,2.360901,2.973992,
2.378624,2.35829,3.049111,2.135734,2.362995,2.970562,
2.375174,2.359885,3.046391,2.131999,2.36542,2.9656,
2.374206,2.361861,3.043385,2.130458,2.368103,2.961193,
2.375238,2.363554,3.040499,2.130851,2.370242,2.956748,
2.37208,2.365503,3.038954,2.12678,2.3729,2.954293,
2.371175,2.367228,3.035802,2.125034,2.375265,2.95044,
2.372113,2.368411,3.033188,2.124915,2.377233,2.947365,
2.369145,2.370172,3.030828,2.121242,2.379461,2.944972,
2.368571,2.371508,3.027639,2.12018,2.381377,2.941448,
2.369412,2.372669,3.024307,2.120831,2.3829,2.937505,
2.366267,2.374285,3.021602,2.117956,2.384867,2.934479,
2.365313,2.375319,3.018233,2.117878,2.385774,2.930955,
2.366319,2.376281,3.014109,2.119552,2.386708,2.926748,
2.362763,2.377445,3.012217,2.116579,2.388002,2.925102,
2.361841,2.378361,3.008911,2.116399,2.388579,2.922735,
2.362489,2.379081,3.003245,2.117424,2.389066,2.918153,
2.359555,2.380167,3.00225,2.114788,2.390308,2.917794,
2.35861,2.381093,2.99927,2.114256,2.390809,2.915935,
2.358951,2.382326,2.995022,2.114407,2.392048,2.913007,
2.355673,2.383348,3.001692,2.11104,2.393078,2.920337,
2.355025,2.383968,2.998882,2.10998,2.393973,2.918238,
2.355716,2.384657,3.006154,2.11025,2.394688,2.925962,
2.352966,2.385587,3.014071,2.107247,2.395524,2.93458,
2.352638,2.386115,3.011823,2.106138,2.396407,2.932946,
2.35327,2.386436,3.009865,2.106601,2.396657,2.931166,
2.350549,2.387656,3.007974,2.103722,2.397734,2.929941,
2.350346,2.388069,3.006658,2.103101,2.398216,2.929235,
2.351279,2.388469,3.005356,2.103806,2.398526,2.928437,
2.348269,2.389528,3.003976,2.100832,2.399308,2.927692,
2.347729,2.390469,3.002486,2.100247,2.399868,2.926792,
2.348595,2.391195,3.000956,2.101188,2.400002,2.926049,
2.348557,2.39209,2.999445,2.10113,2.400836,2.925162,
