pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.750073,4.41134,1.750073,0,4.507173,0,
1.750073,4.41134,1.750073,0,4.507173,0,
1.750178,2.39198,1.750178,0,2.508318,0,
1.824437,2.150819,1.824437,1.450971,1.992312,1.450971,
1.844124,2.142586,1.844124,1.453842,1.993106,1.453842,
1.84694,2.141983,1.84694,1.456259,1.993766,1.456259,
1.848128,2.142019,1.848128,1.457958,1.99473,1.457958,
1.851618,2.140914,1.851618,1.4627,1.996899,1.4627,
1.853276,2.141364,1.853276,1.464854,1.998536,1.464854,
1.852852,2.141818,1.852852,1.484689,1.998986,1.484689,
1.842054,2.145118,1.842054,1.486759,1.998223,1.486759,
1.840901,2.145489,1.840901,1.486968,1.997258,1.486968,
1.839703,2.145981,1.839703,1.487656,1.996279,1.487656,
1.838518,2.146534,1.838518,1.488017,1.994641,1.488017,
1.835216,2.148084,1.835216,1.488799,1.990427,1.488799,
1.835341,2.148284,1.835341,1.488195,1.989647,1.488195,
1.834677,2.149059,1.834677,1.488002,1.988043,1.488002,
1.834168,2.149824,1.834168,1.487638,1.986722,1.487638,
1.833843,2.150424,1.833843,1.486948,1.985575,1.486948,
1.833594,2.151261,1.833594,1.486749,1.984533,1.486749,
1.833189,2.153373,1.833189,1.484864,1.982896,1.484864,
1.833037,2.154857,1.833037,1.483817,1.982361,1.483817,
1.833092,2.155056,1.833092,1.484103,1.983212,1.484103,
1.833015,2.156041,1.833015,1.484019,1.983731,1.484019,
1.83306,2.15678,1.83306,1.484273,1.984422,1.484273,
1.833041,2.157693,1.833041,1.485199,1.985551,1.485199,
1.832963,2.160247,1.832963,1.487659,1.98935,1.487659,
1.832798,2.162017,1.832798,1.489958,1.992233,1.489958,
1.832852,2.163063,1.832852,1.491744,1.994691,1.491744,
1.832931,2.162898,1.832931,1.492195,1.994574,1.492195,
1.833167,2.163384,1.833167,1.492936,1.995764,1.492936,
1.833305,2.163839,1.833305,1.493541,1.99677,1.493541,
1.833712,2.165071,1.833712,1.494783,1.999619,1.494783,
1.834321,2.164997,1.834321,1.49551,2.00098,1.49551,
1.834927,2.164556,1.834927,1.496228,2.001806,1.496228,
1.834827,2.164421,1.834827,1.496434,2.001662,1.496434,
1.83482,2.164237,1.83482,1.497724,2.002379,1.497724,
1.834722,2.163795,1.834722,1.498581,2.002926,1.498581,
1.834699,2.1636,1.834699,1.499222,2.003151,1.499222,
1.834242,2.162743,1.834242,1.500303,2.003861,1.500303,
1.83397,2.162086,1.83397,1.499562,2.002469,1.499562,
1.833726,2.161868,1.833726,1.499415,2.001836,1.499415,
1.833391,2.161659,1.833391,1.499014,2.001277,1.499014,
1.833063,2.161437,1.833063,1.49849,2.000528,1.49849,
1.832631,2.161233,1.832631,1.497964,1.999811,1.497964,
1.832248,2.161139,1.832248,1.497387,1.999251,1.497387,
1.831785,2.161091,1.831785,1.496831,1.998585,1.496831,
1.831357,2.161003,1.831357,1.496325,1.998099,1.496325,
1.830997,2.161001,1.830997,1.49581,1.997797,1.49581,
1.830296,2.161026,1.830296,1.49527,1.997074,1.49527,
