chair to collider angle,table to collider angle,audience to collider angle,


37.5703,45.65363,37.5703,
37.5703,45.65363,37.5703,
37.68503,101.8125,37.68503,
65.92606,31.97192,65.92606,
79.53132,10.62355,79.53132,
81.84013,7.426053,81.84013,
82.8367,6.636519,82.8367,
85.55125,8.33449,85.55125,
86.9894,11.0144,86.9894,
86.79224,10.70158,86.79224,
87.98042,16.37174,87.98042,
87.78561,16.05391,87.78561,
87.56644,15.71848,87.56644,
87.30475,15.38268,87.30475,
86.52306,14.45531,86.52306,
86.46811,14.45671,86.46811,
86.18723,14.20334,86.18723,
85.97696,13.9771,85.97696,
85.85258,13.78361,85.85258,
85.76153,13.63407,85.76153,
85.48992,13.25729,85.48992,
85.51266,13.22033,85.51266,
85.52978,13.3134,85.52978,
85.41309,13.28317,85.41309,
85.26048,13.23348,85.26048,
85.17886,13.1947,85.17886,
85.01136,13.13621,85.01136,
84.99199,13.24455,84.99199,
84.99165,13.39539,84.99165,
85.02853,13.43172,85.02853,
84.97398,13.46834,84.97398,
84.91048,13.51194,84.91048,
84.65678,13.57891,84.65678,
84.60256,13.63973,84.60256,
84.6715,13.62765,84.6715,
84.67419,13.57581,84.67419,
84.60773,13.51082,84.60773,
84.36761,13.22139,84.36761,
84.24275,12.98998,84.24275,
83.8983,12.17596,83.8983,
83.42216,11.18893,83.42216,
83.27267,10.91446,83.27267,
82.88029,10.22147,82.88029,
82.47087,9.476333,82.47087,
81.99603,8.54762,81.99603,
81.50829,7.53067,81.50829,
81.06624,6.466902,81.06624,
80.65054,5.435163,80.65054,
80.21532,4.329115,80.21532,
79.74957,3.182723,79.74957,
79.24206,2.092374,79.24206,
77.59807,2.393674,77.59807,
76.20021,4.891687,76.20021,
74.6497,7.444843,74.6497,
74.48856,7.433343,74.48856,
73.65794,8.640429,73.65794,
72.80201,9.83989,72.80201,
71.93233,11.03007,71.93233,
71.00326,12.17463,71.00326,
70.01487,13.30974,70.01487,
69.02732,14.41879,69.02732,
68.12659,15.45085,68.12659,
67.35977,16.43197,67.35977,
66.73932,17.32055,66.73932,
65.18333,19.75892,65.18333,
64.55586,20.91493,64.55586,
64.00494,21.95362,64.00494,
63.6505,22.86174,63.6505,
63.37038,23.61582,63.37038,
63.04851,24.399,63.04851,
62.61398,25.27415,62.61398,
61.97817,26.28947,61.97817,
61.26191,27.28545,61.26191,
60.4314,28.27067,60.4314,
59.75089,29.23947,59.75089,
59.46635,30.23565,59.46635,
59.23036,31.29274,59.23036,
58.88169,32.44289,58.88169,
58.58549,33.64589,58.58549,
58.39822,34.85513,58.39822,
58.23009,36.13499,58.23009,
57.97801,37.49446,57.97801,
57.95808,37.57922,57.95808,
57.80811,38.34256,57.80811,
57.63843,39.11545,57.63843,
57.11866,41.45335,57.11866,
56.67953,43.09314,48.03306,
56.25038,44.78568,46.25594,
55.83836,46.62258,44.33288,
55.31277,48.52634,42.32119,
54.74749,50.43393,40.32278,
54.25687,52.42234,38.20625,
53.77856,54.46699,36.02463,
53.20549,56.50278,33.9009,
52.69481,58.47867,31.78992,
52.33807,60.50075,29.61796,
52.37779,60.52138,29.58921,
52.29535,61.53357,28.52325,
52.19112,64.48849,25.38105,
