pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.937931,4.524607,1.937931,0,4.507173,0,
1.937931,4.524607,1.937931,0,4.507173,0,
1.819688,2.416641,3.513344,1.325209,1.980447,2.681357,
1.748677,2.328466,3.491978,1.392589,2.074064,3.321821,
1.746697,2.325981,3.49124,1.390608,2.071378,3.321943,
1.745988,2.324921,3.491154,1.389874,2.07011,3.322002,
1.745575,2.324471,3.491422,1.388778,2.068635,3.322193,
1.744709,2.323284,3.491942,1.386518,2.065225,3.322242,
1.743857,2.322329,3.492443,1.385483,2.063601,3.322644,
1.743789,2.322233,3.510558,1.379461,2.053358,3.335126,
1.737689,2.31387,3.510739,1.379071,2.052927,3.336226,
1.73735,2.313302,3.512107,1.378575,2.052406,3.337398,
1.736887,2.312697,3.513306,1.378023,2.051758,3.338359,
1.736461,2.312175,3.51447,1.377657,2.051407,3.339207,
1.736114,2.311715,3.515512,1.377076,2.050861,3.340069,
1.735655,2.311061,3.516289,1.376781,2.050549,3.340563,
1.735208,2.310616,3.517194,1.376395,2.050237,3.341137,
1.734678,2.30988,3.517863,1.375937,2.049711,3.341468,
1.733985,2.308979,3.518487,1.375296,2.048934,3.34208,
1.733601,2.308432,3.519074,1.374748,2.048341,3.342379,
1.733092,2.307751,3.519661,1.374264,2.047773,3.342672,
1.732458,2.306839,3.520047,1.373621,2.046967,3.343007,
1.731937,2.306192,3.520543,1.372962,2.046327,3.343265,
1.731457,2.305546,3.521095,1.37225,2.045537,3.343699,
1.73077,2.304739,3.521487,1.371555,2.044807,3.344075,
1.730235,2.304104,3.521862,1.370752,2.04399,3.344452,
1.729695,2.3034,3.522301,1.369787,2.043006,3.34493,
1.729128,2.302699,3.522869,1.369001,2.04215,3.345446,
1.728571,2.301964,3.523238,1.368131,2.041253,3.345975,
1.727925,2.301195,3.523809,1.367283,2.040324,3.346339,
1.727364,2.300227,3.524466,1.366306,2.039084,3.346946,
1.72685,2.299566,3.525107,1.365341,2.038097,3.347546,
1.726132,2.298768,3.52568,1.364108,2.036864,3.34798,
1.725568,2.298039,3.526203,1.363056,2.035721,3.348352,
1.72492,2.297389,3.526595,1.362004,2.034753,3.348893,
1.724403,2.296808,3.526943,1.361076,2.03383,3.349193,
1.723907,2.296104,3.52719,1.360127,2.032774,3.349439,
1.723343,2.29549,3.527314,1.359107,2.031794,3.349577,
1.72276,2.294757,3.527531,1.358182,2.030778,3.349678,
1.722357,2.294077,3.527683,1.357281,2.029676,3.349681,
1.721838,2.293492,3.527669,1.356583,2.028995,3.349924,
1.721334,2.29291,3.527894,1.355611,2.027977,3.349845,
1.720818,2.292321,3.527878,1.354676,2.026899,3.349853,
1.720355,2.291843,3.527988,1.353497,2.025646,3.34955,
1.7199,2.291305,3.528108,1.352525,2.024571,3.349336,
1.719962,2.290817,3.528502,1.351776,2.023458,3.349355,
1.719696,2.290423,3.52859,1.350962,2.022544,3.349217,
1.719478,2.290094,3.528719,1.349978,2.02152,3.349139,
1.719111,2.289558,3.528672,1.349095,2.020467,3.349053,
1.718986,2.289424,3.528797,1.348118,2.019392,3.348698,
