chair to collider angle,table to collider angle,audience to collider angle,


56.74524,23.20005,56.74524,
56.74524,23.20005,56.74524,
95.87563,98.48787,45.5641,
65.50574,59.56087,6.871583,
65.57893,59.66911,7.047372,
65.36042,59.43045,7.094922,
65.2449,59.29181,7.095585,
64.91148,58.89692,7.14817,
64.62347,58.5707,7.214771,
64.56311,58.52787,7.483829,
63.95642,57.23649,6.306055,
64.01907,57.24393,6.16068,
64.10732,57.26541,5.989034,
64.17818,57.28524,5.849217,
64.22206,57.30398,5.76684,
64.24826,57.30879,5.701865,
64.27978,57.31281,5.633778,
64.33035,57.33305,5.539128,
64.41047,57.36242,5.402145,
64.48677,57.38555,5.260677,
64.57114,57.40956,5.100811,
64.64217,57.42456,4.958672,
64.7039,57.42406,4.80966,
64.77367,57.43808,4.672232,
64.85131,57.45736,4.535053,
64.92634,57.46898,4.390749,
65.00563,57.4798,4.231285,
65.06377,57.47715,4.08677,
65.07727,57.42467,3.969558,
65.05936,57.34491,3.852495,
65.00068,57.22342,3.757339,
64.94886,57.10967,3.675197,
64.86765,56.9771,3.61931,
64.78529,56.85086,3.595265,
64.70139,56.72472,3.582499,
64.6001,56.58329,3.574072,
64.52336,56.45231,3.533079,
64.46037,56.31142,3.466788,
64.39571,56.16693,3.39863,
64.29989,56.00138,3.367902,
64.17291,55.80694,3.390786,
64.01885,55.6008,3.449349,
63.84717,55.39588,3.552422,
63.6692,55.18646,3.671359,
63.53236,55.00695,3.744183,
63.41872,54.84891,3.780148,
63.34887,54.71288,3.796121,
63.28023,54.5748,3.812386,
63.20435,54.4342,3.853817,
63.10842,54.28039,3.916017,
62.98303,54.12133,4.013809,
62.8604,53.97345,4.107085,
62.73438,53.84167,4.200625,
62.61631,53.726,4.287565,
62.51432,53.62874,4.354647,
62.43246,53.54105,4.406112,
62.40784,53.4899,4.41956,
62.40752,53.46301,4.397346,
62.46062,53.47156,4.326671,
62.56129,53.52038,4.19638,
62.69247,53.5985,4.050526,
62.836,53.68237,3.89345,
62.98404,53.77803,3.728041,
63.14442,53.9103,3.543427,
63.29887,54.04755,3.365983,
63.43904,54.17896,3.190526,
63.58667,54.33592,3.004786,
63.72057,54.49551,2.814803,
63.8352,54.64233,2.643602,
63.92681,54.76411,2.506475,
64.00571,54.87799,2.381706,
64.10517,54.99567,2.241492,
64.20277,55.10983,2.105893,
64.32852,55.24392,1.955147,
64.45976,55.39402,1.794605,
64.57561,55.53725,1.671755,
64.69598,55.68666,1.542308,
64.81264,55.83923,1.434769,
64.91647,55.98712,1.357827,
65.02964,56.14158,1.308358,
65.15218,56.29249,1.263001,
65.30908,56.46857,1.203823,
65.46411,56.63922,1.17869,
65.6485,56.8408,1.184486,
65.82214,57.03427,1.25523,
66.01551,57.26525,1.400954,
66.16708,57.47363,1.604253,
66.33555,57.70974,1.853613,
66.48306,57.9292,2.122648,
66.66417,58.18587,2.424628,
66.82585,58.42628,2.719518,
67.01749,58.69474,3.056014,
67.20897,58.96325,3.389862,
67.39539,59.23607,3.746745,
67.59528,59.52802,4.111089,
67.82397,59.83358,4.481176,
68.06068,60.14154,4.845047,
68.29049,60.43115,5.20398,
68.50059,60.73331,5.600527,
