user x,user y,table x,table y,chair x,chair y,audience x,audience y,


0.6233705,1.616252,-3.876983,2.05678,0,0,0,0,
0.6233705,1.616252,-3.876983,2.05678,0,0,0,0,
0.6232221,1.616145,1.204234,0.8233933,1.155564,0.4732132,-1.854201,1.128009,
0.6594973,1.619782,1.204453,0.8233476,1.155441,0.4730399,-1.841775,1.130909,
0.6597556,1.619675,1.20424,0.8235006,1.155493,0.4731755,-1.839208,1.133471,
0.6601499,1.619553,1.204218,0.8234999,1.155713,0.4729962,-1.837816,1.134131,
0.6602226,1.619504,1.204479,0.8234773,1.155787,0.4731057,-1.836743,1.135298,
0.6607238,1.619413,1.204497,0.8235049,1.155988,0.4729602,-1.832784,1.138351,
0.6611968,1.619232,1.204481,0.8232875,1.155844,0.4726918,-1.830503,1.141014,
0.6612307,1.619173,1.204503,0.8232231,1.155557,0.4725773,-1.818856,1.146809,
0.6673713,1.621635,1.204449,0.8231461,1.155535,0.4725366,-1.818042,1.146186,
0.6679122,1.621918,1.20443,0.8231299,1.155515,0.472482,-1.817084,1.145475,
0.6685628,1.622277,1.204488,0.8232076,1.155654,0.4726901,-1.815856,1.145045,
0.6692408,1.622468,1.204412,0.8231299,1.155625,0.4726541,-1.814803,1.144492,
0.6697162,1.622615,1.204396,0.8231106,1.155585,0.4726536,-1.813715,1.143824,
0.6702255,1.622712,1.204442,0.82319,1.155555,0.4726348,-1.812603,1.143317,
0.6708567,1.622838,1.204258,0.8229828,1.155542,0.4725907,-1.811566,1.142777,
0.671543,1.623026,1.204234,0.8229775,1.155562,0.47258,-1.810259,1.14188,
0.6723068,1.623355,1.204385,0.823112,1.155742,0.4728334,-1.808942,1.141514,
0.6728965,1.623631,1.204348,0.8230684,1.155742,0.4728274,-1.807618,1.141165,
0.6735282,1.62387,1.204326,0.8230565,1.155768,0.4728434,-1.806133,1.140567,
0.6740295,1.624014,1.204534,0.8232524,1.155875,0.4729655,-1.80474,1.140332,
0.6746204,1.624291,1.204466,0.8231697,1.155878,0.472945,-1.803345,1.139727,
0.6751514,1.624489,1.204453,0.8231516,1.155923,0.4729655,-1.802123,1.139393,
0.675663,1.624642,1.204533,0.8231971,1.156097,0.4731755,-1.800846,1.139178,
0.6761161,1.624862,1.204399,0.8230247,1.15611,0.4731631,-1.799636,1.138889,
0.6766148,1.62499,1.204381,0.8230057,1.156251,0.4731293,-1.798193,1.138206,
0.6771708,1.625103,1.204489,0.8229847,1.156294,0.4731634,-1.796881,1.138053,
0.6775572,1.625353,1.204384,0.8228309,1.156327,0.4731627,-1.795716,1.13786,
0.6781113,1.625513,1.20438,0.8227792,1.156269,0.4732759,-1.794407,1.137461,
0.6787606,1.62578,1.204511,0.823019,1.156272,0.4732707,-1.793093,1.13734,
0.6792029,1.625994,1.204505,0.8229928,1.156299,0.4733241,-1.79178,1.137105,
0.6798086,1.626154,1.204494,0.8229609,1.156216,0.4734547,-1.790451,1.136752,
0.6803042,1.626206,1.204435,0.8231285,1.156276,0.4735315,-1.78904,1.136596,
0.6807709,1.62631,1.204257,0.8229444,1.156292,0.4736013,-1.787648,1.136237,
