pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.91219,4.448478,1.91219,0,4.507173,0,
1.91219,4.448478,1.91219,0,4.507173,0,
2.202846,2.712505,1.912349,1.562463,2.478753,0,
2.061098,2.718243,1.846115,1.922361,2.501786,1.492633,
2.047854,2.722052,1.845865,1.914077,2.506865,1.491884,
2.045613,2.722646,1.845581,1.91031,2.509722,1.491594,
2.044441,2.72294,1.845382,1.906214,2.512281,1.491061,
2.040945,2.723506,1.844435,1.894822,2.51978,1.489433,
2.039057,2.72361,1.843599,1.887389,2.523448,1.486979,
2.039196,2.722653,1.84349,1.839977,2.54073,1.468472,
2.037514,2.704031,1.833469,1.839528,2.541399,1.469142,
2.038302,2.702518,1.83309,1.839449,2.542084,1.470232,
2.039189,2.700806,1.832725,1.839498,2.542988,1.47148,
2.040113,2.699202,1.832343,1.839641,2.543803,1.472646,
2.043227,2.694263,1.831373,1.840566,2.546292,1.476142,
2.043503,2.693962,1.831393,1.84148,2.546167,1.476771,
2.044778,2.691834,1.830978,1.842004,2.546675,1.477907,
2.045986,2.690037,1.830592,1.842746,2.546862,1.478853,
2.047156,2.687984,1.830204,1.843193,2.546965,1.479618,
2.048543,2.685677,1.829714,1.844051,2.546795,1.480493,
2.049853,2.683401,1.829183,1.845168,2.5462,1.481266,
2.05375,2.676806,3.644016,1.848243,2.544784,3.506839,
2.05646,2.671859,3.640639,1.851289,2.541699,3.504283,
2.058944,2.667123,3.637814,1.853851,2.539181,3.502433,
2.058787,2.667069,3.637887,1.853664,2.538901,3.502658,
2.060027,2.664798,3.63663,1.854947,2.537291,3.501883,
2.060932,2.66233,3.634028,1.856035,2.535686,3.50019,
2.061976,2.660075,3.632098,1.856754,2.534304,3.498723,
2.063321,2.657674,3.630114,1.858285,2.532506,3.49735,
2.064153,2.655227,3.626358,1.859258,2.530496,3.49451,
2.065189,2.652951,3.624016,1.860542,2.528828,3.492876,
2.066185,2.650544,3.622222,1.861611,2.526682,3.491513,
2.066959,2.648429,3.618572,1.862458,2.524599,3.48838,
2.069429,2.64166,3.610687,1.865582,2.518288,3.481774,
2.070657,2.637212,3.60235,1.867675,2.513754,3.47497,
2.070281,2.637099,3.602329,1.86753,2.513389,3.47489,
2.070908,2.634859,3.597718,1.868757,2.511031,3.471211,
2.071423,2.632742,3.594183,1.869841,2.508918,3.468466,
2.072048,2.630588,3.591531,1.871191,2.50665,3.466347,
2.073733,2.624259,3.580616,1.874409,2.499831,3.45736,
2.074846,2.62045,3.57223,1.876279,2.495648,3.449999,
2.074859,2.620545,3.572129,1.876199,2.495611,3.449744,
2.075468,2.618504,3.568863,1.876915,2.49337,3.446618,
2.076129,2.616448,3.564459,1.877737,2.490964,3.442477,
2.078184,2.610839,3.55367,1.880436,2.484134,3.431806,
2.079804,2.607139,3.546948,1.882071,2.479813,3.424717,
2.080062,2.607019,3.547098,1.88214,2.479906,3.424664,
2.080919,2.605213,3.54328,1.883124,2.477687,3.4208,
2.081862,2.603384,3.540015,1.884183,2.475635,3.4175,
2.082824,2.601493,3.536314,1.885275,2.473528,3.413789,
