user x,user y,table x,table y,chair x,chair y,audience x,audience y,


0.5453134,1.686213,-3.876983,2.05678,0,0,0,0,
0.5453134,1.686213,-3.876983,2.05678,0,0,0,0,
0.5450466,1.686269,1.616853,0.9039342,-1.342824,0.5611317,0,0,
0.3817691,1.68786,1.61748,0.9037503,-1.341757,0.5599921,0,0,
0.3611127,1.695641,1.617414,0.9037312,-1.341612,0.5597448,0,0,
0.3575016,1.696737,1.617442,0.903706,-1.342505,0.5607436,0,0,
0.3558366,1.69715,1.61732,0.9036494,-1.342323,0.5604577,0,0,
0.3512897,1.697919,1.617401,0.9035406,-1.342228,0.5604603,0,0,
0.3490862,1.697881,1.617301,0.9035232,-1.341946,0.5600443,0,0,
0.3495187,1.697657,1.616918,0.9038517,-1.341317,0.5592513,0,0,
0.350453,1.694081,1.616941,0.9038339,-1.341356,0.5592666,0,0,
0.3515965,1.693827,1.616968,0.9038073,-1.341354,0.5592639,0,0,
0.3528179,1.693573,1.617235,0.9037328,-1.341295,0.5591068,0,0,
0.3541403,1.693263,1.617272,0.9037075,-1.3413,0.5590861,0,0,
0.358374,1.692636,1.617358,0.9037625,-1.341177,0.5589042,0,0,
0.3588109,1.692575,1.617277,0.9037714,-1.34116,0.5589759,0,0,
0.3605688,1.692276,1.617304,0.90377,-1.341136,0.5589392,0,0,
0.3622421,1.691979,1.61736,0.9037671,-1.340977,0.558702,0,0,
0.3638686,1.691728,1.617353,0.903759,-1.340913,0.5586517,0,0,
0.3657985,1.691343,1.617386,0.9037169,-1.34089,0.5585954,0,0,
0.3676616,1.690913,1.617252,0.9037713,-1.340807,0.5584452,0,0,
0.3730792,1.689796,1.617268,0.903695,-1.340864,0.5584536,-1.989295,1.152995,
0.3767466,1.689166,1.617315,0.9037788,-1.340741,0.5582209,-1.979648,1.153097,
0.380388,1.688331,1.617439,0.9037898,-1.340556,0.5580781,-1.96893,1.153926,
0.3802345,1.688421,1.617452,0.9037871,-1.340472,0.5580919,-1.968658,1.154445,
0.381929,1.6881,1.617494,0.9037745,-1.340443,0.5580313,-1.962244,1.153683,
0.3833008,1.687671,1.617351,0.9037006,-1.340375,0.5579247,-1.957286,1.154927,
0.3847283,1.687414,1.617394,0.9036852,-1.340333,0.5578685,-1.951636,1.154655,
0.3862941,1.687036,1.61743,0.9036704,-1.341315,0.5589213,-1.946021,1.154443,
0.387566,1.686586,1.61709,0.9037269,-1.341204,0.5587218,-1.942095,1.157688,
0.3889317,1.686201,1.617122,0.9036957,-1.342031,0.5598042,-1.936044,1.157321,
0.3903878,1.685743,1.617155,0.9036756,-1.342049,0.5597839,-1.929962,1.155814,
0.3916192,1.685257,1.617327,0.9036131,-1.341886,0.5595253,-1.925435,1.157783,
0.395368,1.683917,1.617424,0.9035499,-1.342611,0.5605712,-1.907481,1.155101,
0.3973795,1.683048,1.617467,0.9036821,-1.34243,0.5603073,-1.896741,1.156814,
0.397297,1.682945,1.617476,0.9036788,-1.342088,0.5602443,-1.896553,1.155839,
0.3983043,1.68252,1.617301,0.9038317,-1.342079,0.5602322,-1.892055,1.158286,
0.3992388,1.682015,1.617338,0.903814,-1.342054,0.5602138,-1.885687,1.158263,
