pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.775665,4.311899,1.775665,0,4.507173,0,
1.775665,4.311899,1.775665,0,4.507173,0,
2.819693,1.523353,2.387123,2.289037,1.997423,2.677284,
2.603626,1.378276,2.672368,2.394416,1.143805,2.719043,
2.597593,1.38592,2.677928,2.393438,1.143003,2.718374,
2.597348,1.386639,2.675869,2.392627,1.142557,2.717549,
2.596418,1.387407,2.673332,2.392142,1.140069,2.715722,
2.596485,1.387742,2.671248,2.392265,1.138364,2.714353,
2.596044,1.388062,2.670133,2.392315,1.136473,2.71364,
2.595289,1.388405,2.668627,2.391926,1.134587,2.712434,
2.594751,1.388855,2.666764,2.392302,1.132532,2.710495,
2.594364,1.389043,2.624122,2.409604,1.114284,2.659156,
2.581019,1.408208,2.616636,2.410889,1.112837,2.654954,
2.580609,1.409471,2.612947,2.412355,1.111259,2.650583,
2.579779,1.41074,2.609373,2.414068,1.110006,2.645571,
2.579017,1.411899,2.605573,2.415313,1.10838,2.641122,
2.578516,1.412862,2.601619,2.417259,1.107371,2.635644,
2.577737,1.413931,2.597927,2.419088,1.106445,2.630626,
2.576948,1.414988,2.593928,2.418105,1.105302,2.631012,
2.576383,1.415746,2.589762,2.418819,1.10369,2.628923,
2.575633,1.416686,2.585996,2.420681,1.103509,2.623569,
2.572993,1.416612,2.587126,2.422447,1.10402,2.617567,
2.572196,1.417503,2.582754,2.424192,1.104734,2.610604,
2.572155,1.41766,2.577998,2.426311,1.106324,2.603574,
2.572502,1.418983,2.569951,2.428115,1.107162,2.596932,
2.571769,1.419596,2.564926,2.429715,1.108168,2.590297,
2.57237,1.418806,2.559235,2.431712,1.109617,2.582562,
2.572783,1.419742,2.550928,2.433822,1.110614,2.57507,
2.571991,1.420171,2.545197,2.435268,1.111776,2.567926,
2.57202,1.419872,2.539377,2.436836,1.112923,2.560596,
2.572176,1.420293,2.531872,2.438644,1.114028,2.552958,
2.571398,1.420536,2.525917,2.439869,1.115408,2.545404,
2.571342,1.420568,2.519618,2.441197,1.116602,2.537822,
2.571172,1.420782,2.513112,2.442699,1.117658,2.530297,
2.570879,1.421028,2.506905,2.443894,1.11871,2.522944,
2.570531,1.421049,2.498644,2.444942,1.119619,2.513567,
2.569971,1.421022,2.492358,2.445817,1.120592,2.505789,
2.569563,1.421056,2.486002,2.446885,1.121677,2.498074,
2.569179,1.420933,2.47962,2.447532,1.122375,2.490553,
2.568708,1.420567,2.473741,2.448326,1.123044,2.483055,
2.568246,1.420311,2.467343,2.449054,1.123902,2.475276,
2.567741,1.420133,2.461054,2.449558,1.124625,2.467798,
2.567271,1.419678,2.455091,2.450148,1.125574,2.459916,
2.566818,1.419383,2.448764,2.450597,1.126449,2.452366,
2.566479,1.418892,2.442413,2.450864,1.127399,2.444958,
2.566152,1.418228,2.43648,2.451382,1.128178,2.437438,
2.565616,1.417874,2.429962,2.451405,1.129127,2.430041,
2.565138,1.417242,2.423511,2.451492,1.130416,2.422413,
2.564446,1.416438,2.417317,2.451282,1.131284,2.414934,
2.563876,1.415835,2.410946,2.451148,1.13225,2.407569,
