chair to collider angle,table to collider angle,audience to collider angle,


81.49409,74.06062,81.49409,
81.49409,74.06062,81.49409,
134.2284,81.65923,34.348,
82.10263,18.71673,120.8403,
93.21472,17.72914,111.9364,
94.69856,17.90596,110.5851,
97.7917,18.44875,107.5432,
99.3796,18.81246,105.8314,
100.9346,19.24124,104.0656,
102.4423,19.78417,102.2768,
103.896,20.42804,100.5307,
105.281,21.14262,98.83768,
124.6754,39.76606,72.15192,
125.3702,40.75863,70.87502,
126.002,41.67852,69.674,
126.5581,42.53701,68.54708,
127.0429,43.32113,67.51817,
127.5386,44.09848,66.51978,
127.9684,44.80165,65.61552,
128.3575,45.48357,64.73763,
128.7034,46.07456,63.95704,
129.0555,46.53169,63.24228,
129.4224,47.12212,62.52916,
129.7753,47.72749,61.84764,
130.1032,48.37798,61.14307,
130.3862,48.90848,60.48085,
130.6043,49.4174,59.88349,
130.768,49.90822,59.30168,
130.9168,50.31264,58.73796,
131.0225,50.71861,58.19297,
131.1134,51.1363,57.63814,
131.1597,51.45621,57.13843,
131.1916,51.79034,56.6641,
131.2533,52.14444,56.18273,
131.2939,52.46585,55.72897,
131.3158,52.78624,55.26536,
131.3117,53.08453,54.81906,
131.2964,53.35391,54.40266,
131.2352,53.57365,54.02654,
131.1648,53.75293,53.70913,
131.083,53.90416,53.43242,
130.9896,54.00886,53.20698,
130.8929,54.08413,53.02653,
130.8298,54.1835,52.83663,
130.7867,54.26549,52.70312,
130.694,54.30565,52.5748,
130.5862,54.34265,52.45288,
130.4133,54.31553,52.38787,
130.2142,54.24737,52.34512,
129.9822,54.15071,52.31961,
129.7787,54.09583,52.26319,
129.5853,54.05648,52.19151,
129.4136,54.05669,52.08894,
129.2421,54.0885,51.94577,
129.0909,54.11988,51.8153,
128.9183,54.14185,52.12966,
128.7535,54.17863,52.00414,
128.5714,54.21581,51.85547,
128.4488,54.2932,51.69012,
128.3825,54.50712,51.41454,
128.318,54.71839,51.11533,
128.3127,55.02174,50.75858,
128.3157,55.34882,50.37738,
128.3372,55.73159,49.94721,
128.3617,56.15561,49.46743,
128.3986,56.62501,48.95525,
128.4574,57.13664,48.3969,
128.4845,57.63982,47.83337,
128.5234,58.16554,47.26005,
128.5657,58.70356,46.68399,
128.597,59.24412,46.10557,
128.6211,59.77649,45.54935,
128.6606,60.30881,44.99971,
128.6718,60.83212,44.43502,
128.6769,61.37961,43.86062,
128.7064,61.95465,43.26281,
128.7572,62.57415,42.60527,
128.8099,63.26248,41.89561,
128.8673,63.95284,41.17887,
128.9413,64.67091,40.42868,
129.0005,65.37746,39.68929,
129.0219,66.0713,38.9628,
129.0601,66.7715,38.20996,
129.0837,67.51822,37.41644,
129.1256,68.27196,36.62275,
129.1739,69.04218,35.80015,
129.2204,69.84223,34.96742,
129.2801,70.64745,34.12466,
129.3317,71.43736,33.26937,
129.4075,72.28452,32.3815,
129.4931,73.12807,31.50098,
129.5979,73.94785,30.61974,
129.6861,74.78877,29.72785,
129.7896,75.6257,28.83218,
129.8653,76.44151,27.95165,
129.9338,77.2736,27.04989,
130.0044,78.07981,26.19386,
130.0777,78.83942,25.36488,
130.1414,79.57851,24.57353,
